question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.5812,0.7778,0.1966,True,0.8427,"{""A"":3,""B"":12,""C"":75,""D"":10,""most_likely"":""C""}"
gpqa_002,0.2374,0.7778,0.5404,True,0.5677,"{""A"":2,""B"":93,""C"":3,""D"":2,""most_likely"":""B""}"
gpqa_007,0.6595,0.7778,0.1183,True,0.9054,"{""A"":15,""B"":70,""C"":10,""D"":5,""most_likely"":""B""}"
gpqa_009,0.6284,0.8889,0.2605,True,0.7916,"{""A"":5,""B"":70,""C"":20,""D"":5,""most_likely"":""B""}"
gpqa_010,0.7855,0.8571,0.0716,False,0.7427,"{""A"":10,""B"":60,""C"":20,""D"":10,""most_likely"":""B""}"
gpqa_012,0.7083,0.6667,0.0416,True,0.9667,"{""A"":65,""B"":10,""C"":20,""D"":5,""most_likely"":""A""}"
gpqa_013,0.6595,0.6667,0.0072,True,0.9943,"{""A"":15,""B"":70,""C"":10,""D"":5,""most_likely"":""B""}"
gpqa_018,0.8239,0.875,0.0511,False,0.7591,"{""A"":30,""B"":15,""C"":50,""D"":5,""most_likely"":""C""}"
gpqa_019,0.511,0.7778,0.2668,True,0.7865,"{""A"":10,""B"":5,""C"":5,""D"":80,""most_likely"":""D""}"
gpqa_022,0.7855,0.8889,0.1034,False,0.7173,"{""A"":10,""B"":10,""C"":20,""D"":60,""most_likely"":""D""}"
gpqa_023,0.7394,0.8889,0.1495,False,0.6804,"{""A"":10,""B"":10,""C"":15,""D"":65,""most_likely"":""D""}"
gpqa_025,0.3088,0.8889,0.5801,True,0.5359,"{""A"":5,""B"":90,""C"":3,""D"":2,""most_likely"":""B""}"
gpqa_026,0.511,0.8889,0.3779,True,0.6977,"{""A"":80,""B"":10,""C"":5,""D"":5,""most_likely"":""A""}"
gpqa_028,0.6595,0.7778,0.1183,True,0.9054,"{""A"":70,""B"":15,""C"":10,""D"":5,""most_likely"":""A""}"
gpqa_035,0.6784,0.8889,0.2105,True,0.8316,"{""A"":10,""B"":10,""C"":70,""D"":10,""most_likely"":""C""}"
gpqa_040,0.6595,0.875,0.2155,True,0.8276,"{""A"":70,""B"":15,""C"":10,""D"":5,""most_likely"":""A""}"
gpqa_042,0.511,0.8889,0.3779,False,0.4977,"{""A"":10,""B"":5,""C"":5,""D"":80,""most_likely"":""D""}"
gpqa_046,0.511,0.8889,0.3779,False,0.4977,"{""A"":10,""B"":5,""C"":5,""D"":80,""most_likely"":""D""}"
gpqa_049,0.511,0.875,0.364,True,0.7088,"{""A"":10,""B"":5,""C"":80,""D"":5,""most_likely"":""C""}"
gpqa_052,0.511,0.875,0.364,True,0.7088,"{""A"":10,""B"":80,""C"":5,""D"":5,""most_likely"":""B""}"
gpqa_053,0.511,0.875,0.364,False,0.5088,"{""A"":80,""B"":10,""C"":5,""D"":5,""most_likely"":""A""}"
gpqa_054,0.511,0.7778,0.2668,True,0.7865,"{""A"":80,""B"":10,""C"":5,""D"":5,""most_likely"":""A""}"
gpqa_055,0.511,0.8889,0.3779,False,0.4977,"{""A"":10,""B"":80,""C"":5,""D"":5,""most_llikely"":""B""}"
