question_id,category,difficulty,dims_parsed,routing_choice,raw_response,declared_CE,declared_ER,declared_CI,declared_EM,declared_PI,declared_activation,routing_score
gpqa_000,physics_(general),0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_002,quantum_mechanics,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_007,genetics,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_009,astrophysics,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_010,molecular_biology,0.8571,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_012,organic_chemistry,0.6667,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_013,molecular_biology,0.6667,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_018,organic_chemistry,0.875,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_019,quantum_mechanics,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
gpqa_022,organic_chemistry,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 3, ""EM"": 4, ""PI"": 3, ""routing"": ""ANSWER""}
```",4,2,3,4,3,0.3333,0.0
