question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_002,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_007,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_009,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_010,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_012,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_013,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_018,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_019,D,D,False,True,True,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_022,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_023,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_025,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_026,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_028,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_035,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_040,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_042,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_046,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_049,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_052,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_053,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_054,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_055,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_057,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_059,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_061,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_064,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_065,D,D,False,True,True,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_069,D,D,False,True,True,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_073,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_074,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_075,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_076,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_078,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_080,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_082,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_083,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_084,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_087,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_088,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_090,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_094,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_097,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_098,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_099,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_100,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_101,C,C,False,True,True,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_102,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_103,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_104,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_106,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_110,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_113,D,D,False,False,False,0.0,"{""answer"": ""D"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_114,C,C,False,False,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_116,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_117,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_118,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
