question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.86,0.7778,0.0822,True,0.9343,"{""A"": 20, ""B"": 30, ""C"": 45, ""D"": 5, ""most_likely"": ""C""}"
gpqa_002,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 5, ""B"": 10, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}"
gpqa_007,0.511,0.7778,0.2668,False,0.5865,"{""A"": 80, ""B"": 5, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_009,0.8697,0.8889,0.0192,False,0.7846,"{""A"": 5, ""B"": 35, ""C"": 20, ""D"": 40, ""most_likely"": ""D""}"
gpqa_010,0.6784,0.8571,0.1787,True,0.857,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_012,0.7394,0.6667,0.0727,False,0.7418,"{""A"": 15, ""B"": 10, ""C"": 65, ""D"": 10, ""most_likely"": ""C""}"
gpqa_013,0.7666,0.6667,0.0999,True,0.9201,"{""A"": 20, ""B"": 60, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_018,0.8911,0.875,0.0161,False,0.7871,"{""A"": 15, ""B"": 45, ""C"": 10, ""D"": 30, ""most_likely"": ""B""}"
gpqa_019,0.6784,0.7778,0.0994,True,0.9205,"{""A"": 10, ""B"": 10, ""C"": 10, ""D"": 70, ""most_likely"": ""D""}"
gpqa_022,0.5959,0.8889,0.293,False,0.5656,"{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_023,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 10, ""D"": 70, ""most_likely"": ""D""}"
gpqa_025,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_026,0.4238,0.8889,0.4651,False,0.4279,"{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_028,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 10, ""B"": 5, ""C"": 70, ""D"": 15, ""most_likely"": ""C""}"
gpqa_035,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 10, ""D"": 70, ""most_likely"": ""D""}"
gpqa_040,0.6784,0.875,0.1966,False,0.6427,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_042,0.5959,0.8889,0.293,False,0.5656,"{""A"": 5, ""B"": 10, ""C"": 75, ""D"": 10, ""most_likely"": ""C""}"
gpqa_046,0.3088,0.8889,0.5801,True,0.5359,"{""A"": 90, ""B"": 2, ""C"": 5, ""D"": 3, ""most_likely"": ""A""}"
gpqa_049,0.6595,0.875,0.2155,False,0.6276,"{""A"": 5, ""B"": 70, ""C"": 15, ""D"": 10, ""most_likely"": ""B""}"
gpqa_052,0.7892,0.875,0.0858,False,0.7314,"{""A"": 5, ""B"": 35, ""C"": 10, ""D"": 50, ""most_likely"": ""D""}"
gpqa_053,0.6595,0.875,0.2155,True,0.8276,"{""A"": 5, ""B"": 10, ""C"": 70, ""D"": 15, ""most_likely"": ""C""}"
gpqa_054,0.3088,0.7778,0.469,True,0.6248,"{""A"": 90, ""B"": 5, ""C"": 3, ""D"": 2, ""most_likely"": ""A""}"
gpqa_055,0.6784,0.8889,0.2105,True,0.8316,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_057,0.511,0.8889,0.3779,True,0.6977,"{""A"": 5, ""B"": 5, ""C"": 80, ""D"": 10, ""most_likely"": ""C""}"
gpqa_059,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_061,0.6784,0.7778,0.0994,False,0.7205,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_064,0.6595,0.75,0.0905,True,0.9276,"{""A"": 70, ""B"": 10, ""C"": 15, ""D"": 5, ""most_likely"": ""A""}"
gpqa_065,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 5, ""B"": 70, ""C"": 15, ""D"": 10, ""most_likely"": ""B""}"
gpqa_069,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_073,0.313,0.8889,0.5759,False,0.3393,"{""A"": 90, ""B"": 3, ""C"": 4, ""D"": 3, ""most_likely"": ""A""}"
gpqa_074,0.511,0.4444,0.0666,True,0.9467,"{""A"": 80, ""B"": 5, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_075,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_076,0.6784,0.8889,0.2105,True,0.8316,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_078,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_080,0.8714,0.7778,0.0936,True,0.9251,"{""A"": 25, ""B"": 15, ""C"": 50, ""D"": 10, ""most_likely"": ""C""}"
gpqa_082,0.7394,0.875,0.1356,True,0.8916,"{""A"": 15, ""B"": 65, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_083,0.6784,0.8571,0.1787,True,0.857,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_084,0.6784,0.8889,0.2105,False,0.6316,"{""A"": 10, ""B"": 10, ""C"": 10, ""D"": 70, ""most_likely"": ""D""}"
gpqa_087,0.6784,0.625,0.0534,True,0.9573,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_088,0.8805,0.8889,0.0084,False,0.7933,"{""A"": 20, ""B"": 20, ""C"": 50, ""D"": 10, ""most_likely"": ""C""}"
gpqa_090,0.6784,0.7778,0.0994,False,0.7205,"{""A"": 10, ""B"": 10, ""C"": 10, ""D"": 70, ""most_likely"": ""D""}"
gpqa_094,0.8714,0.7778,0.0936,False,0.7251,"{""A"": 15, ""B"": 25, ""C"": 10, ""D"": 50, ""most_likely"": ""D""}"
