question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_002,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_007,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_009,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_010,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_012,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_013,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_018,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_019,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_022,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_023,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""22"", ""confidence"": 3}"
gpqa_025,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_026,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_028,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_035,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_040,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_042,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_046,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_049,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_052,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_053,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_054,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_055,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_057,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_059,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_061,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_064,ANSWER,A,0.65,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_065,ANSWER,A,0.0,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
