question_id,difficulty,n_models_attempted,category
gpqa_001,1.0,9,organic_chemistry
gpqa_003,1.0,9,electromagnetism_and_photonics
gpqa_005,1.0,8,quantum_mechanics
gpqa_004,1.0,8,quantum_mechanics
gpqa_008,1.0,9,organic_chemistry
gpqa_006,1.0,9,high-energy_particle_physics
gpqa_063,1.0,9,inorganic_chemistry
gpqa_062,1.0,8,quantum_mechanics
gpqa_011,1.0,9,high-energy_particle_physics
gpqa_021,1.0,8,chemistry_(general)
gpqa_017,1.0,8,physics_(general)
gpqa_016,1.0,7,chemistry_(general)
gpqa_015,1.0,8,organic_chemistry
gpqa_014,1.0,8,physics_(general)
gpqa_020,1.0,8,organic_chemistry
gpqa_031,1.0,9,high-energy_particle_physics
gpqa_032,1.0,8,organic_chemistry
gpqa_033,1.0,8,organic_chemistry
gpqa_034,1.0,8,physics_(general)
gpqa_029,1.0,9,organic_chemistry
gpqa_027,1.0,9,organic_chemistry
gpqa_024,1.0,9,organic_chemistry
gpqa_037,1.0,9,organic_chemistry
gpqa_036,1.0,9,organic_chemistry
gpqa_030,1.0,9,organic_chemistry
gpqa_068,1.0,8,high-energy_particle_physics
gpqa_066,1.0,9,quantum_mechanics
gpqa_067,1.0,8,quantum_mechanics
gpqa_050,1.0,8,electromagnetism_and_photonics
gpqa_051,1.0,9,astrophysics
gpqa_047,1.0,9,organic_chemistry
gpqa_048,1.0,9,organic_chemistry
gpqa_044,1.0,8,quantum_mechanics
gpqa_045,1.0,8,organic_chemistry
gpqa_043,1.0,9,molecular_biology
gpqa_041,1.0,9,astrophysics
gpqa_039,1.0,8,organic_chemistry
gpqa_038,1.0,9,quantum_mechanics
gpqa_060,1.0,9,organic_chemistry
gpqa_056,1.0,9,quantum_mechanics
gpqa_058,1.0,9,chemistry_(general)
gpqa_107,1.0,9,quantum_mechanics
gpqa_112,1.0,9,chemistry_(general)
gpqa_115,1.0,9,organic_chemistry
gpqa_111,1.0,9,quantum_mechanics
gpqa_133,1.0,8,chemistry_(general)
gpqa_126,1.0,8,organic_chemistry
gpqa_128,1.0,8,organic_chemistry
gpqa_132,1.0,8,chemistry_(general)
gpqa_124,1.0,8,quantum_mechanics
gpqa_122,1.0,9,relativistic_mechanics
gpqa_123,1.0,9,relativistic_mechanics
gpqa_120,1.0,9,organic_chemistry
gpqa_121,1.0,9,organic_chemistry
gpqa_130,1.0,8,organic_chemistry
gpqa_109,1.0,9,astrophysics
gpqa_092,1.0,8,molecular_biology
gpqa_089,1.0,9,organic_chemistry
gpqa_093,1.0,9,organic_chemistry
gpqa_095,1.0,8,physics_(general)
gpqa_096,1.0,9,molecular_biology
gpqa_091,1.0,8,chemistry_(general)
gpqa_086,1.0,9,chemistry_(general)
gpqa_079,1.0,8,molecular_biology
gpqa_085,1.0,9,organic_chemistry
gpqa_081,1.0,8,organic_chemistry
gpqa_077,1.0,9,electromagnetism_and_photonics
gpqa_072,1.0,8,relativistic_mechanics
gpqa_071,1.0,8,organic_chemistry
gpqa_070,1.0,9,physics_(general)
gpqa_186,1.0,9,astrophysics
gpqa_195,1.0,9,physics_(general)
gpqa_192,1.0,8,astrophysics
gpqa_193,1.0,9,physics_(general)
gpqa_196,1.0,9,organic_chemistry
gpqa_197,1.0,8,chemistry_(general)
gpqa_191,1.0,9,electromagnetism_and_photonics
gpqa_190,1.0,8,organic_chemistry
gpqa_183,1.0,9,organic_chemistry
gpqa_185,1.0,8,organic_chemistry
gpqa_187,1.0,8,physics_(general)
gpqa_189,1.0,9,organic_chemistry
gpqa_182,1.0,9,organic_chemistry
gpqa_160,1.0,9,relativistic_mechanics
gpqa_163,1.0,9,astrophysics
gpqa_162,1.0,8,chemistry_(general)
gpqa_150,1.0,9,quantum_mechanics
gpqa_151,1.0,9,molecular_biology
gpqa_152,1.0,8,organic_chemistry
gpqa_153,1.0,9,organic_chemistry
gpqa_154,1.0,9,quantum_mechanics
gpqa_155,1.0,8,organic_chemistry
gpqa_145,1.0,8,organic_chemistry
gpqa_147,1.0,7,chemistry_(general)
gpqa_142,1.0,9,organic_chemistry
gpqa_143,1.0,9,high-energy_particle_physics
gpqa_144,1.0,8,organic_chemistry
gpqa_141,1.0,9,quantum_mechanics
gpqa_138,1.0,9,organic_chemistry
gpqa_108,1.0,9,quantum_mechanics
gpqa_105,1.0,9,organic_chemistry
gpqa_194,1.0,9,astrophysics
gpqa_166,1.0,9,quantum_mechanics
gpqa_167,1.0,8,genetics
gpqa_172,1.0,9,quantum_mechanics
gpqa_171,1.0,9,physics_(general)
gpqa_178,1.0,9,quantum_mechanics
gpqa_177,1.0,8,high-energy_particle_physics
gpqa_176,1.0,9,physics_(general)
gpqa_174,1.0,8,electromagnetism_and_photonics
gpqa_181,1.0,9,condensed_matter_physics
gpqa_179,1.0,8,physics_(general)
gpqa_158,1.0,9,astrophysics
gpqa_159,1.0,8,optics_and_acoustics
gpqa_161,1.0,8,relativistic_mechanics
gpqa_139,1.0,9,organic_chemistry
gpqa_140,1.0,8,organic_chemistry
gpqa_136,1.0,9,high-energy_particle_physics
gpqa_173,0.8889,9,physics_(general)
gpqa_057,0.8889,9,high-energy_particle_physics
gpqa_035,0.8889,9,astrophysics
gpqa_022,0.8889,9,organic_chemistry
