question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,377,267,306,152,7,324,13.6
gpqa_002,D,B,0,0,0,322,138,147,117,12,322,6.0
gpqa_007,B,B,1,0,0,501,470,319,551,7,1069,14.6
gpqa_009,A,B,0,0,0,513,231,315,169,7,350,9.5
gpqa_010,B,C,0,0,0,154,186,234,258,7,743,6.7
gpqa_012,A,A,1,0,0,226,356,523,263,7,662,10.7
gpqa_013,A,B,0,0,0,154,237,427,238,56,423,8.5
gpqa_018,A,A,1,0,0,1024,394,577,501,7,1138,19.9
gpqa_019,A,D,0,0,0,156,324,317,148,7,382,7.4
gpqa_022,A,B,0,0,0,395,292,487,230,7,556,11.0
gpqa_023,,B,0,0,0,1024,425,573,195,15,469,17.4
gpqa_025,A,B,0,0,0,440,501,633,507,36,931,16.6
gpqa_026,,A,0,0,0,166,246,298,308,132,511,8.9
gpqa_028,B,A,0,0,0,366,427,475,189,7,637,11.5
gpqa_035,C,C,1,0,0,276,300,414,360,7,552,10.5
gpqa_040,A,A,1,0,0,227,252,360,125,7,311,7.6
gpqa_042,C,A,0,0,0,301,244,247,298,7,613,8.6
gpqa_046,A,A,1,0,0,504,305,410,444,7,696,12.8
gpqa_049,,C,0,0,0,161,259,217,146,13,385,6.2
gpqa_052,C,B,0,0,0,409,335,290,202,7,466,9.6
gpqa_053,D,C,0,0,0,265,251,333,355,7,580,9.3
gpqa_054,D,A,0,0,0,1019,138,274,171,7,418,12.5
gpqa_055,B,B,1,0,0,425,380,351,743,7,1034,14.7
gpqa_057,D,C,0,0,0,111,138,325,132,7,249,5.5
gpqa_059,D,A,0,0,0,538,380,395,129,7,372,11.3
gpqa_061,D,A,0,0,0,437,266,231,252,7,561,9.3
gpqa_064,C,A,0,0,0,247,444,440,415,7,757,12.1
gpqa_065,D,D,1,0,0,449,499,235,80,7,229,9.9
gpqa_069,A,D,0,0,0,98,248,246,425,20,629,8.1
gpqa_073,D,C,0,0,0,480,209,237,367,7,566,10.1
gpqa_074,A,A,1,0,0,133,393,536,551,7,1264,12.9
gpqa_075,D,B,0,0,0,228,180,343,165,7,435,7.3
gpqa_076,C,B,0,0,0,289,247,289,306,7,956,9.1
gpqa_078,D,D,1,0,0,538,413,528,393,7,825,14.7
gpqa_080,A,C,0,0,0,584,673,539,615,7,911,18.8
gpqa_082,C,B,0,0,0,725,547,725,147,19,368,16.7
gpqa_083,A,B,0,0,0,98,441,433,334,7,493,10.0
gpqa_084,D,A,0,0,0,928,338,543,356,7,682,16.9
gpqa_087,B,B,1,0,0,137,339,429,241,13,457,9.0
gpqa_088,D,A,0,0,0,136,222,331,302,193,599,9.2
gpqa_090,A,A,1,0,0,367,300,369,287,7,563,10.3
gpqa_094,C,B,0,0,0,464,307,506,159,7,459,11.3
gpqa_097,A,B,0,0,0,174,335,310,190,7,405,7.9
gpqa_098,A,A,1,0,0,707,506,628,274,24,687,16.8
gpqa_099,A,C,0,0,0,62,252,198,137,7,414,5.2
gpqa_100,C,A,0,0,0,335,383,364,358,7,626,11.2
gpqa_101,D,C,0,0,0,290,458,362,346,7,858,11.5
gpqa_102,A,C,0,0,0,503,328,397,631,7,1026,14.6
gpqa_103,B,C,0,0,0,678,384,329,257,16,519,13.0
gpqa_104,D,B,0,0,0,404,172,421,101,7,386,8.7
gpqa_106,A,A,1,0,0,167,267,348,246,7,585,8.0
gpqa_110,A,A,1,0,0,322,272,283,222,7,606,8.7
gpqa_113,A,C,0,0,0,247,261,304,218,7,445,8.1
gpqa_114,,B,0,0,0,1024,362,498,711,67,930,20.7
gpqa_116,A,A,1,0,0,229,188,267,245,7,516,7.2
gpqa_117,A,B,0,0,0,184,164,303,179,7,387,6.6
gpqa_118,D,A,0,0,0,327,333,452,495,7,847,12.6
gpqa_119,D,A,0,0,0,177,206,205,269,23,422,6.8
gpqa_125,D,B,0,0,0,311,197,342,190,7,503,8.2
gpqa_127,A,A,1,0,0,436,439,426,398,7,3451,15.6
gpqa_129,,A,0,0,0,543,392,544,363,19,520,14.3
gpqa_131,D,C,0,0,0,548,372,495,600,7,985,15.8
gpqa_134,A,C,0,0,0,384,546,789,837,7,1221,20.1
gpqa_135,C,D,0,0,0,271,202,296,516,7,740,10.0
gpqa_137,D,A,0,0,0,120,453,536,178,7,380,10.0
gpqa_146,C,A,0,0,0,381,262,354,116,7,285,8.7
gpqa_148,D,D,1,0,0,278,511,495,233,7,526,11.8
gpqa_149,B,D,0,0,0,716,344,375,295,7,592,13.5
gpqa_156,D,D,1,0,0,241,232,431,296,7,549,9.4
gpqa_157,C,D,0,0,0,216,298,335,207,7,482,8.3
gpqa_164,D,D,1,0,0,217,163,293,206,7,535,7.0
gpqa_165,D,D,1,0,0,266,459,429,217,7,1060,11.2
gpqa_168,A,C,0,0,0,171,387,372,178,7,434,8.7
gpqa_169,A,C,0,0,0,460,289,434,110,7,293,10.0
gpqa_170,A,A,1,0,0,609,373,522,240,7,509,13.5
gpqa_173,C,A,0,0,0,526,419,576,990,7,1236,19.5
gpqa_175,D,B,0,0,0,694,383,572,204,12,506,14.5
gpqa_180,B,B,1,0,0,469,487,435,459,7,780,14.4
gpqa_184,B,D,0,0,0,174,130,333,164,7,352,6.3
gpqa_188,B,C,0,0,0,199,150,190,95,7,210,5.0
