question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":5}"
gpqa_002,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}"
gpqa_007,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}"
gpqa_009,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}"
gpqa_010,ANSWER,ANSWER,0.8571,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":5}"
gpqa_012,ANSWER,ANSWER,0.6667,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":5}"
gpqa_013,ANSWER,ANSWER,0.6667,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_018,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":5}"
gpqa_022,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D""}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_023,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""C""}"
gpqa_025,ANSWER,DELEGATE,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""C""}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_026,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_028,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_035,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C""}","{""choice"":""ANSWER"",""answer"":""C""}"
gpqa_040,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_042,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_046,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_049,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":5}","{""choice"":""ANSWER"",""answer"":""C""}"
gpqa_052,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_053,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_054,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""D""}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_055,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_057,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D""}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_059,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_061,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","We need correct sequence to synthesize 1-(cyclohexyl(hydroxy)methyl)cyclohexanecarbaldehyde from ethynylcyclohexane. Path: ethynylcyclohexane undergoes nucleophilic addition of alkyl halide via R-CH2- to produce enyne? Let's think: Ethynylcyclohexane: cyclohex-1-yn-1-yl? Wait ""ethynylcyclohexane"" means cyclohexane with ethynyl substituent: C#C-CH2-cyclohexane? Actually ethynyl group is -C≡CH attached to cyclohexane carbon. Reaction with NaNH2 and methyl chloride: would produce carbanion deproton"
gpqa_064,ANSWER,ANSWER,0.75,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_065,ANSWER,ANSWER,0.7778,0.3,"In SMEFT, operators must respect Lorentz and Poincare (which includes Lorentz and translations). CPT must always hold through fundamental interactions. CP is not required. So answer is D.{""choice"":""ANSWER"",""answer"":""D""}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_069,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_073,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C""}","{""choice"":""ANSWER"",""answer"":""C""}"
gpqa_074,ANSWER,ANSWER,0.4444,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_075,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_076,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""D""}"
gpqa_078,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D""}","{""choice"":""ANSWER"",""answer"":""C""}"
gpqa_080,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_082,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_083,ANSWER,ANSWER,0.8571,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_084,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C""}","{""choice"":""ANSWER"",""answer"":""A""}"
gpqa_087,ANSWER,ANSWER,0.625,0.3,"{""choice"":""ANSWER"",""answer"":""B""}","{""choice"":""ANSWER"",""answer"":""B""}"
gpqa_088,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A""}","{""choice"":""ANSWER"",""answer"":""A""}"
