question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,A,True,True,False,0.0,"{""answer"": ""C"", ""confidence"": 5}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_002,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_007,B,A,True,True,False,0.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_009,D,B,True,False,True,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 3}"
gpqa_010,C,B,True,True,False,0.0,"{""answer"": ""C"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 3}"
gpqa_012,C,A,True,False,True,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_013,B,A,True,True,False,0.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_018,B,A,True,False,True,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_019,D,B,True,True,False,0.0,"{""answer"": ""D"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 3}"
gpqa_022,D,A,True,False,False,0.1,"{""answer"": ""D"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_023,B,D,True,True,False,0.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 3}"
gpqa_025,B,C,True,True,False,0.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 3}"
gpqa_026,A,B,True,True,False,0.0,"{""answer"": ""A"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 3}"
gpqa_028,B,D,True,False,False,0.1,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 3}"
gpqa_035,C,A,True,True,False,0.0,"{""answer"": ""C"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_040,B,A,True,False,True,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_042,D,A,True,False,True,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 3}"
gpqa_046,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
