question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.98}","{""answer"":""C"",""confidence"":0.99}"
gpqa_002,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.99}","{""answer"":""C"",""confidence"":0.99}"
gpqa_007,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.86}","{""answer"":""A"",""confidence"":0.88}"
gpqa_009,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.98}","{""answer"":""B"",""confidence"":0.97}"
gpqa_010,A,C,0.0,1.0,0.5714,"{""answer"":""A"",""confidence"":0.93}","{""answer"":""C"",""confidence"":0.96}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.91}","{""answer"":""A"",""confidence"":0.89}"
gpqa_013,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.82}","{""answer"":""A"",""confidence"":0.86}"
gpqa_018,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.84}","{""answer"":""B"",""confidence"":0.82}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.9}","{""answer"":""D"",""confidence"":0.87}"
gpqa_022,A,B,0.0,1.0,0.5714,"{""answer"":""A"",""confidence"":0.95}","{""answer"":""B"",""confidence"":0.84}"
gpqa_023,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.9}","{""answer"":""D"",""confidence"":0.88}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.77}","{""answer"":""B"",""confidence"":0.79}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.84}","{""answer"":""A"",""confidence"":0.96}"
gpqa_028,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.97}","{""answer"":""A"",""confidence"":0.95}"
gpqa_035,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.93}","{""answer"":""A"",""confidence"":0.94}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.97}"
gpqa_042,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.94}","{""answer"":""A"",""confidence"":0.9}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""A"",""confidence"":0.99}"
gpqa_049,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.92}","{""answer"":""B"",""confidence"":0.91}"
gpqa_052,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.93}","{""answer"":""B"",""confidence"":0.91}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.96}","{""answer"":""C"",""confidence"":0.96}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.99}"
gpqa_055,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.97}","{""answer"":""B"",""confidence"":0.95}"
gpqa_057,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.98}","{""answer"":""D"",""confidence"":0.99}"
gpqa_059,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.99}","{""answer"":""D"",""confidence"":0.99}"
gpqa_061,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.95}","{""answer"":""A"",""confidence"":0.96}"
gpqa_064,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.78}","{""answer"":""C"",""confidence"":0.8}"
gpqa_065,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.97}","{""answer"":""D"",""confidence"":0.98}"
gpqa_069,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.95}","{""answer"":""B"",""confidence"":0.96}"
gpqa_073,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.97}","{""answer"":""D"",""confidence"":0.98}"
gpqa_074,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.97}"
gpqa_075,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.72}","{""answer"":""D"",""confidence"":0.66}"
gpqa_076,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.74}","{""answer"":""C"",""confidence"":0.8}"
gpqa_078,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.9}","{""answer"":""D"",""confidence"":0.89}"
gpqa_080,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.86}","{""answer"":""A"",""confidence"":0.83}"
gpqa_082,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.97}","{""answer"":""B"",""confidence"":0.97}"
gpqa_083,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.9}","{""answer"":""B"",""confidence"":0.89}"
gpqa_084,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.86}","{""answer"":""B"",""confidence"":0.85}"
gpqa_087,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.99}","{""answer"":""B"",""confidence"":0.98}"
gpqa_088,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.84}","{""answer"":""B"",""confidence"":0.8}"
gpqa_090,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.62}","{""answer"":""D"",""confidence"":0.72}"
gpqa_094,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.8}","{""answer"":""D"",""confidence"":0.77}"
gpqa_097,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.83}","{""answer"":""B"",""confidence"":0.82}"
gpqa_098,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.95}","{""answer"":""B"",""confidence"":0.92}"
gpqa_099,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.93}","{""answer"":""C"",""confidence"":0.9}"
gpqa_100,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.97}","{""answer"":""A"",""confidence"":0.97}"
gpqa_101,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.78}","{""answer"":""C"",""confidence"":0.86}"
gpqa_102,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.97}"
gpqa_103,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.96}","{""answer"":""A"",""confidence"":0.95}"
