question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.98}","{""answer"":""C"",""confidence"":0.98}"
gpqa_002,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""A"",""confidence"":0.99}"
gpqa_007,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.65}","{""answer"":""B"",""confidence"":0.65}"
gpqa_009,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.6}","{""answer"":""B"",""confidence"":0.6}"
gpqa_010,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.72}","{""answer"":""C"",""confidence"":0.72}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.54}","{""answer"":""A"",""confidence"":0.54}"
gpqa_013,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.78}","{""answer"":""B"",""confidence"":0.78}"
gpqa_018,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.57}","{""answer"":""D"",""confidence"":0.57}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.93}","{""answer"":""D"",""confidence"":0.93}"
gpqa_022,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.79}","{""answer"":""B"",""confidence"":0.79}"
gpqa_023,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.41}","{""answer"":""D"",""confidence"":0.41}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.66}","{""answer"":""B"",""confidence"":0.66}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.96}","{""answer"":""A"",""confidence"":0.96}"
gpqa_028,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.96}","{""answer"":""B"",""confidence"":0.96}"
gpqa_035,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.9}","{""answer"":""C"",""confidence"":0.9}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.98}"
gpqa_042,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.58}","{""answer"":""A"",""confidence"":0.58}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""A"",""confidence"":0.99}"
gpqa_049,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.83}","{""answer"":""C"",""confidence"":0.83}"
gpqa_052,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.65}","{""answer"":""B"",""confidence"":0.65}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.88}","{""answer"":""C"",""confidence"":0.88}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.98}"
gpqa_055,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.75}","{""answer"":""B"",""confidence"":0.75}"
gpqa_057,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.94}","{""answer"":""C"",""confidence"":0.94}"
gpqa_059,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.87}","{""answer"":""A"",""confidence"":0.87}"
gpqa_061,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.95}","{""answer"":""A"",""confidence"":0.95}"
gpqa_064,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.52}","{""answer"":""C"",""confidence"":0.52}"
gpqa_065,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.97}","{""answer"":""D"",""confidence"":0.97}"
gpqa_069,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.33}","{""answer"":""D"",""confidence"":0.33}"
gpqa_073,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.89}","{""answer"":""C"",""confidence"":0.89}"
gpqa_074,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""A"",""confidence"":0.99}"
gpqa_075,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.87}","{""answer"":""A"",""confidence"":0.87}"
gpqa_076,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.43}","{""answer"":""D"",""confidence"":0.43}"
gpqa_078,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.76}","{""answer"":""D"",""confidence"":0.76}"
gpqa_080,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.42}","{""answer"":""C"",""confidence"":0.42}"
gpqa_082,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.96}","{""answer"":""B"",""confidence"":0.96}"
gpqa_083,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.84}","{""answer"":""B"",""confidence"":0.84}"
gpqa_084,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.82}","{""answer"":""B"",""confidence"":0.82}"
gpqa_087,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.97}","{""answer"":""B"",""confidence"":0.97}"
gpqa_088,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.34}","{""answer"":""C"",""confidence"":0.34}"
gpqa_090,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.56}","{""answer"":""A"",""confidence"":0.56}"
gpqa_094,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.4}","{""answer"":""D"",""confidence"":0.4}"
gpqa_097,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.59}","{""answer"":""B"",""confidence"":0.59}"
gpqa_098,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.67}","{""answer"":""C"",""confidence"":0.67}"
gpqa_099,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":0.89}","{""answer"":""B"",""confidence"":0.89}"
gpqa_100,A,A,0.0,0.0,1.0,"{""answer"":""A"",""confidence"":0.88}","{""answer"":""A"",""confidence"":0.88}"
gpqa_101,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.53}","{""answer"":""D"",""confidence"":0.53}"
gpqa_102,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":0.78}","{""answer"":""D"",""confidence"":0.78}"
gpqa_103,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":0.93}","{""answer"":""C"",""confidence"":0.93}"
