model,provider,task_id,task_name,n_requests,n_expected,completion_rate,run_file_path,is_reasoning,csv_file_path
claude-haiku-4-5-20251001,anthropic,t01,delegate_game,80,80,1.0,data/kaggle_runs/t01-msv_delegate_game-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t01_delegate_game_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t02,declared_probe,80,80,1.0,data/kaggle_runs/t02-msv_declared_probe-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t02_declared_probe_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t03,second_chance,160,80,2.0,data/kaggle_runs/t03-msv_second_chance-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t03_second_chance_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t04,confidence_entropy,80,80,1.0,data/kaggle_runs/t04-msv_confidence_entropy-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t04_confidence_entropy_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t05,teammate_delegate,80,80,1.0,data/kaggle_runs/t05-msv_teammate_delegate-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t05_teammate_delegate_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t06,behavioral_er,160,80,2.0,data/kaggle_runs/t06-msv_behavioral_er-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t06_behavioral_er_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t07,behavioral_ci,80,80,1.0,data/kaggle_runs/t07-msv_behavioral_ci-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t07_behavioral_ci_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t08,behavioral_em,74,80,0.925,data/kaggle_runs/t08-msv_behavioral_em-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t08_behavioral_em_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t09,behavioral_pi,160,80,2.0,data/kaggle_runs/t09-msv_behavioral_pi-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t09_behavioral_pi_results_claude-haiku-4-5-20251001.csv
claude-haiku-4-5-20251001,anthropic,t10,dpp_sequence,51,80,0.6375,data/kaggle_runs/t10-msv_dpp_sequence-run_id_Run_1_anthropic_claude-haiku-4-5-20251001.run.json,False,data/kaggle_csvs/t10_dpp_sequence_results_claude-haiku-4-5-20251001.csv
