model,n_tasks_run,n_tasks_clean,n_tasks_budget_fail,n_tasks_other_fail,completion_rate,platform_score_mean,raw_mean_completed
claude-haiku-4-5-20251001,11,10,0,1,0.9090909090909091,0.6625272727272727,0.7411714285714287
gpt-5.4-2026-03-05,11,10,1,0,0.9090909090909091,0.6538090909090909,0.6782428571428571
qwen3-coder-480b-a35b-instruct,11,11,0,0,1.0,0.6410090909090909,0.5878285714285714
qwen3-235b-a22b-instruct-2507,11,9,1,1,0.8181818181818182,0.6340818181818182,0.7076571428571429
gemini-2.0-flash-lite-001,11,10,0,1,0.9090909090909091,0.6101199999999999,0.4792714285714286
gemma-3-27b-it,11,10,0,1,0.9090909090909091,0.5842999999999999,0.6235714285714286
qwen3-next-80b-a3b-instruct,11,9,2,0,0.8181818181818182,0.5393181818181818,0.5847999999999999
deepseek-v3.2,11,7,0,4,0.6363636363636364,0.4989818181818182,0.6804285714285714
gpt-5.4-nano-2026-03-17,11,10,0,1,0.9090909090909091,0.489990909090909,0.42688571428571426
gpt-5.4-mini-2026-03-17,11,10,0,1,0.9090909090909091,0.4874818181818181,0.42997142857142856
gpt-oss-20b,11,9,0,2,0.8181818181818182,0.4861636363636364,0.5409571428571429
claude-opus-4-1-20250805,11,4,6,1,0.36363636363636365,0.45909999999999995,0.7324285714285715
claude-opus-4-6-default,11,2,8,1,0.18181818181818182,0.41563636363636375,0.7488
gemma-3-12b-it,11,4,2,5,0.36363636363636365,0.4089181818181818,0.6384428571428572
gemma-3-1b-it,11,4,0,7,0.36363636363636365,0.3815545454545454,0.4306
gemini-3.1-pro-preview,11,3,8,0,0.2727272727272727,0.3575272727272727,0.6062428571428571
gemma-3-4b-it,11,5,0,6,0.45454545454545453,0.35444000000000003,0.2749
qwen3-next-80b-a3b-thinking,11,3,3,5,0.2727272727272727,0.3011272727272727,0.6454428571428571
gemini-2.5-flash,11,1,0,10,0.09090909090909091,0.23855454545454544,0.5047857142857143
gemma-4-26b-a4b-it,11,0,1,10,0.0,0.22916999999999996,0.6264714285714286
glm-5,11,2,2,7,0.18181818181818182,0.1629181818181818,0.6142714285714286
gemma-4-31b-it,11,0,11,0,0.0,0.15655454545454545,0.6241285714285715
deepseek-r1-0528,11,0,5,6,0.0,0.1489090909090909,0.6404857142857142
