question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,DELEGATE,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_002,ANSWER,DELEGATE,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_007,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_009,ANSWER,DELEGATE,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_010,DELEGATE,ANSWER,0.8571,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_012,DELEGATE,DELEGATE,0.6667,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_013,ANSWER,ANSWER,0.6667,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_018,DELEGATE,DELEGATE,0.875,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_022,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_023,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_025,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_026,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_028,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_035,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_040,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_042,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_046,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_049,DELEGATE,DELEGATE,0.875,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_052,DELEGATE,ANSWER,0.875,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_053,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_054,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_055,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_057,ANSWER,DELEGATE,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_059,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_061,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_064,DELEGATE,DELEGATE,0.75,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_065,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_069,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_073,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_074,ANSWER,ANSWER,0.4444,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_075,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_076,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_078,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_080,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_082,DELEGATE,ANSWER,0.875,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_083,DELEGATE,ANSWER,0.8571,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_084,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_087,ANSWER,ANSWER,0.625,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_088,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_090,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_094,DELEGATE,DELEGATE,0.7778,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_097,DELEGATE,ANSWER,0.8889,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_098,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_099,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_100,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_101,ANSWER,ANSWER,0.625,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_102,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
