id,conf_familiar,conf_novel,differentiation,score,raw_response_familiar,raw_response_novel
em_pair_001,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.92}","{""answer"":""B"",""confidence"":0.97}"
em_pair_002,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.98}","{""answer"":""A"",""confidence"":0.99}"
em_pair_003,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.97}","{""answer"":""C"",""confidence"":0.9}"
em_pair_004,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.84}","{""answer"":""D"",""confidence"":0.83}"
em_pair_005,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.96}","{""answer"":""C"",""confidence"":0.98}"
em_pair_006,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.99}","{""answer"":""B"",""confidence"":0.94}"
em_pair_007,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.95}","{""answer"":""B"",""confidence"":0.99}"
em_pair_008,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.9}","{""answer"":""D"",""confidence"":0.92}"
em_pair_009,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.93}","{""answer"":""B"",""confidence"":0.98}"
em_pair_010,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.9}","{""answer"":""C"",""confidence"":0.89}"
em_pair_011,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""C"",""confidence"":0.92}"
em_pair_012,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.98}","{""answer"":""D"",""confidence"":0.94}"
em_pair_013,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.9}","{""answer"":""A"",""confidence"":0.86}"
em_pair_014,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.88}","{""answer"":""B"",""confidence"":0.83}"
em_pair_015,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.97}","{""answer"":""D"",""confidence"":0.91}"
em_pair_016,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.89}","{""answer"":""A"",""confidence"":0.88}"
em_pair_017,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.9}","{""answer"":""A"",""confidence"":0.98}"
em_pair_018,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.86}","{""answer"":""A"",""confidence"":0.87}"
em_pair_019,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.93}","{""answer"":""D"",""confidence"":0.9}"
em_pair_020,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.88}","{""answer"":""D"",""confidence"":0.85}"
em_pair_021,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.79}","{""answer"":""B"",""confidence"":0.87}"
em_pair_022,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.94}","{""answer"":""D"",""confidence"":0.81}"
em_pair_023,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.88}","{""answer"":""C"",""confidence"":0.82}"
em_pair_024,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.91}","{""answer"":""A"",""confidence"":0.95}"
em_pair_025,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.93}","{""answer"":""C"",""confidence"":0.9}"
em_pair_026,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.92}","{""answer"":""B"",""confidence"":0.97}"
em_pair_027,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.9}","{""answer"":""C"",""confidence"":0.88}"
em_pair_028,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.96}","{""answer"":""A"",""confidence"":0.84}"
em_pair_029,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.93}","{""answer"":""A"",""confidence"":0.95}"
em_pair_030,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.97}","{""answer"":""D"",""confidence"":0.99}"
em_pair_031,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.98}","{""answer"":""C"",""confidence"":0.91}"
em_pair_032,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.85}","{""answer"":""D"",""confidence"":0.74}"
em_pair_033,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.93}","{""answer"":""C"",""confidence"":0.89}"
em_pair_034,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.84}","{""answer"":""D"",""confidence"":0.88}"
em_pair_035,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.99}","{""answer"":""A"",""confidence"":0.98}"
em_pair_036,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.97}","{""answer"":""B"",""confidence"":0.9}"
em_pair_037,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.86}","{""answer"":""D"",""confidence"":0.98}"
