question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.0,0.7778,0.7778,True,0.3778,"{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}"
gpqa_002,0.0,0.7778,0.7778,False,0.1778,"{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}"
gpqa_007,0.3088,0.7778,0.469,True,0.6248,"{""A"": 5, ""B"": 90, ""C"": 3, ""D"": 2, ""most_likely"": ""B""}"
gpqa_009,0.3088,0.8889,0.5801,True,0.5359,"{""A"": 5, ""B"": 90, ""C"": 3, ""D"": 2, ""most_likely"": ""B""}"
gpqa_010,0.4778,0.8571,0.3793,True,0.6965,"{""A"": 8, ""B"": 6, ""C"": 82, ""D"": 4, ""most_likely"": ""C""}"
gpqa_012,0.6145,0.6667,0.0522,False,0.7582,"{""A"": 20, ""B"": 8, ""C"": 70, ""D"": 2, ""most_likely"": ""C""}"
gpqa_013,0.4733,0.6667,0.1934,True,0.8453,"{""A"": 8, ""B"": 82, ""C"": 7, ""D"": 3, ""most_likely"": ""B""}"
gpqa_018,0.7657,0.875,0.1093,False,0.7126,"{""A"": 12, ""B"": 18, ""C"": 8, ""D"": 62, ""most_likely"": ""D""}"
gpqa_019,0.3088,0.7778,0.469,True,0.6248,"{""A"": 5, ""B"": 3, ""C"": 2, ""D"": 90, ""most_likely"": ""D""}"
gpqa_022,0.3993,0.8889,0.4896,True,0.6083,"{""A"": 6, ""B"": 86, ""C"": 5, ""D"": 3, ""most_likely"": ""B""}"
gpqa_023,0.5522,0.8889,0.3367,False,0.5306,"{""A"": 7, ""B"": 9, ""C"": 6, ""D"": 78, ""most_likely"": ""D""}"
gpqa_025,0.5241,0.8889,0.3648,False,0.5082,"{""A"": 4, ""B"": 14, ""C"": 78, ""D"": 4, ""most_likely"": ""C""}"
gpqa_026,0.1511,0.8889,0.7378,True,0.4098,"{""A"": 96, ""B"": 1, ""C"": 1, ""D"": 2, ""most_likely"": ""A""}"
gpqa_028,0.2611,0.7778,0.5167,True,0.5866,"{""A"": 92, ""B"": 4, ""C"": 2, ""D"": 2, ""most_likely"": ""A""}"
gpqa_035,0.4372,0.8889,0.4517,True,0.6386,"{""A"": 8, ""B"": 4, ""C"": 84, ""D"": 4, ""most_likely"": ""C""}"
gpqa_040,0.1511,0.875,0.7239,True,0.4209,"{""A"": 96, ""B"": 2, ""C"": 1, ""D"": 1, ""most_likely"": ""A""}"
gpqa_042,0.538,0.8889,0.3509,False,0.5193,"{""A"": 6, ""B"": 12, ""C"": 78, ""D"": 4, ""most_likely"": ""C""}"
gpqa_046,0.121,0.8889,0.7679,True,0.3857,"{""A"": 97, ""B"": 1, ""C"": 1, ""D"": 1, ""most_likely"": ""A""}"
gpqa_049,0.2075,0.875,0.6675,True,0.466,"{""A"": 3, ""B"": 2, ""C"": 94, ""D"": 1, ""most_likely"": ""C""}"
gpqa_052,0.4605,0.875,0.4145,False,0.4684,"{""A"": 4, ""B"": 7, ""C"": 6, ""D"": 83, ""most_likely"": ""D""}"
gpqa_053,0.4053,0.875,0.4697,True,0.6242,"{""A"": 4, ""B"": 9, ""C"": 85, ""D"": 2, ""most_likely"": ""C""}"
gpqa_054,0.1511,0.7778,0.6267,True,0.4987,"{""A"": 96, ""B"": 1, ""C"": 1, ""D"": 2, ""most_likely"": ""A""}"
gpqa_055,0.2611,0.8889,0.6278,False,0.2978,"{""A"": 92, ""B"": 4, ""C"": 2, ""D"": 2, ""most_likely"": ""A""}"
gpqa_057,0.2896,0.8889,0.5993,True,0.5205,"{""A"": 3, ""B"": 3, ""C"": 91, ""D"": 3, ""most_likely"": ""C""}"
gpqa_059,0.3522,0.8889,0.5367,False,0.3707,"{""A"": 4, ""B"": 6, ""C"": 88, ""D"": 2, ""most_likely"": ""C""}"
gpqa_061,0.3289,0.7778,0.4489,True,0.6409,"{""A"": 89, ""B"": 2, ""C"": 6, ""D"": 3, ""most_likely"": ""A""}"
gpqa_064,0.6762,0.75,0.0738,False,0.741,"{""A"": 18, ""B"": 9, ""C"": 68, ""D"": 5, ""most_likely"": ""C""}"
gpqa_065,0.5001,0.7778,0.2777,True,0.7779,"{""A"": 2, ""B"": 18, ""C"": 3, ""D"": 77, ""most_likely"": ""D""}"
gpqa_069,0.4815,0.8889,0.4074,False,0.4741,"{""A"": 6, ""B"": 7, ""C"": 82, ""D"": 5, ""most_likely"": ""C""}"
gpqa_073,0.1775,0.8889,0.7114,False,0.2309,"{""A"": 3, ""B"": 1, ""C"": 1, ""D"": 95, ""most_likely"": ""D""}"
gpqa_074,0.121,0.4444,0.3234,True,0.7413,"{""A"": 97, ""B"": 1, ""C"": 1, ""D"": 1, ""most_likely"": ""A""}"
gpqa_075,0.4408,0.8889,0.4481,True,0.6416,"{""A"": 7, ""B"": 84, ""C"": 5, ""D"": 4, ""most_likely"": ""B""}"
gpqa_076,0.6996,0.8889,0.1893,False,0.6485,"{""A"": 10, ""B"": 14, ""C"": 68, ""D"": 8, ""most_likely"": ""C""}"
gpqa_078,0.5952,0.8889,0.2937,True,0.765,"{""A"": 9, ""B"": 5, ""C"": 11, ""D"": 75, ""most_likely"": ""D""}"
gpqa_080,0.4692,0.7778,0.3086,True,0.7531,"{""A"": 10, ""B"": 4, ""C"": 82, ""D"": 4, ""most_likely"": ""C""}"
gpqa_082,0.2312,0.875,0.6438,True,0.485,"{""A"": 4, ""B"": 93, ""C"": 2, ""D"": 1, ""most_likely"": ""B""}"
gpqa_083,0.303,0.8571,0.5541,True,0.5568,"{""A"": 6, ""B"": 90, ""C"": 2, ""D"": 2, ""most_likely"": ""B""}"
gpqa_084,0.3289,0.8889,0.56,False,0.352,"{""A"": 3, ""B"": 6, ""C"": 89, ""D"": 2, ""most_likely"": ""C""}"
gpqa_087,0.2611,0.625,0.3639,True,0.7089,"{""A"": 4, ""B"": 92, ""C"": 2, ""D"": 2, ""most_likely"": ""B""}"
gpqa_088,0.661,0.8889,0.2279,False,0.6177,"{""A"": 12, ""B"": 71, ""C"": 9, ""D"": 8, ""most_likely"": ""B""}"
