question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 4}
```","```json
{""answer"": ""C"", ""confidence"": 5}
```"
gpqa_002,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 4}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_007,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 4}
```","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_009,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_010,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 4}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_012,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 4}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_013,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 4}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_018,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_019,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 4}
```","```json
{""answer"": ""D"", ""confidence"": 5}
```"
gpqa_022,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 4}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_023,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_025,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""answer"": ""A"", ""confidence"": 5}
```"
