question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_002,0.6018,0.7778,0.176,False,0.6592,"```json
{""A"": 75, ""B"": 10, ""C"": 8, ""D"": 7, ""most_likely"": ""A""}
```"
gpqa_007,0.511,0.7778,0.2668,False,0.5865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_009,0.3738,0.8889,0.5151,False,0.3879,"```json
{""A"": 85, ""B"": 5, ""C"": 10, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_010,0.7855,0.8571,0.0716,False,0.7427,"```json
{""A"": 60, ""B"": 20, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_012,0.4238,0.6667,0.2429,True,0.8057,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_013,0.3738,0.6667,0.2929,False,0.5657,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_018,0.3738,0.875,0.5012,True,0.599,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_019,0.511,0.7778,0.2668,False,0.5865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_022,0.3738,0.8889,0.5151,False,0.3879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_023,0.511,0.8889,0.3779,False,0.4977,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_025,0.3738,0.8889,0.5151,False,0.3879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_026,0.3738,0.8889,0.5151,True,0.5879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_028,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_035,0.3738,0.8889,0.5151,False,0.3879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_040,0.511,0.875,0.364,True,0.7088,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_042,0.3738,0.8889,0.5151,True,0.5879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_046,0.3738,0.8889,0.5151,True,0.5879,"```json
{""A"": 85, ""B"": 10, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_049,0.4421,0.875,0.4329,False,0.4537,"```json
{""A"": 80, ""B"": 15, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
