question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,273,207,402,176,7,340,15.7
gpqa_002,B,B,1,0,0,385,243,385,156,9,351,14.7
gpqa_007,B,B,1,0,0,288,300,486,298,9,788,17.2
gpqa_009,C,B,0,0,0,115,212,284,143,9,317,9.8
gpqa_010,A,C,0,0,0,188,233,398,110,7,498,11.7
gpqa_012,A,A,1,0,0,285,251,485,271,7,604,15.6
gpqa_013,B,B,1,0,0,202,267,522,176,9,344,14.2
gpqa_018,A,A,1,0,0,241,209,324,182,7,703,12.5
gpqa_019,D,D,1,0,0,207,234,426,351,9,569,15.6
gpqa_022,A,B,0,0,0,194,195,388,289,9,563,13.8
gpqa_023,D,B,0,0,0,342,276,386,191,7,432,15.3
gpqa_025,B,B,1,0,0,386,271,428,173,9,572,16.3
gpqa_026,B,A,0,0,0,171,263,394,354,7,534,14.9
gpqa_028,C,A,0,0,0,353,361,422,352,7,740,17.8
gpqa_035,C,C,1,0,0,146,230,343,294,9,467,12.1
gpqa_040,B,A,0,0,0,268,253,340,296,7,473,14.4
gpqa_042,A,A,1,0,0,278,205,307,228,7,484,12.3
gpqa_046,A,A,1,0,0,258,271,412,443,7,688,16.7
gpqa_049,C,C,1,0,0,95,232,471,160,7,381,12.0
gpqa_052,,B,0,0,0,195,266,404,302,12,549,14.4
gpqa_053,C,C,1,0,0,107,206,319,276,7,469,11.0
gpqa_054,B,A,0,0,0,174,271,523,177,9,394,14.2
gpqa_055,B,B,1,0,0,299,246,325,252,9,535,14.5
gpqa_057,D,C,0,0,0,105,260,308,140,9,245,10.6
gpqa_059,D,A,0,0,0,298,191,357,179,9,405,13.3
gpqa_061,,A,0,0,0,253,244,444,390,12,648,16.2
gpqa_064,A,A,1,0,0,207,277,367,396,7,706,14.9
gpqa_065,D,D,1,0,0,295,259,451,199,9,337,14.4
gpqa_069,A,D,0,0,0,158,247,378,152,7,341,11.7
gpqa_073,D,C,0,0,0,187,162,260,150,9,344,9.7
gpqa_074,A,A,1,0,0,77,260,365,106,9,698,10.6
gpqa_075,B,B,1,0,0,93,232,401,194,9,428,11.4
gpqa_076,C,B,0,0,0,276,205,370,166,9,742,12.8
gpqa_078,B,D,0,0,0,277,254,542,438,7,845,18.3
gpqa_080,C,C,1,0,0,210,286,351,121,9,369,11.7
gpqa_082,,B,0,0,0,227,231,425,147,11,355,12.6
gpqa_083,B,B,1,0,0,247,293,470,179,9,323,14.1
gpqa_084,,A,0,0,0,327,248,394,177,11,482,13.9
gpqa_087,B,B,1,0,0,244,252,410,432,9,614,15.8
gpqa_088,B,A,0,0,0,241,265,427,178,7,448,13.3
gpqa_090,C,A,0,0,0,213,240,410,300,9,530,14.4
gpqa_094,A,B,0,0,0,234,237,362,255,7,524,13.6
gpqa_097,D,B,0,0,0,162,243,382,346,7,540,14.1
gpqa_098,A,A,1,0,0,205,215,374,256,9,632,13.2
gpqa_099,C,C,1,0,0,312,240,341,175,7,411,13.4
gpqa_100,A,A,1,0,0,165,210,355,275,9,495,12.5
gpqa_101,C,C,1,0,0,303,360,458,412,9,839,18.5
gpqa_102,C,C,1,0,0,285,268,438,256,9,616,15.5
gpqa_103,D,C,0,0,0,201,232,401,168,7,409,12.5
gpqa_104,B,B,1,0,0,215,295,487,225,9,489,14.6
gpqa_106,B,A,0,0,0,204,241,415,290,9,572,14.1
gpqa_110,B,A,0,0,0,332,272,441,257,9,578,16.4
gpqa_113,D,C,0,0,0,208,248,369,170,9,361,12.2
gpqa_114,B,B,1,0,0,176,221,320,133,9,334,10.9
gpqa_116,A,A,1,0,0,198,195,357,301,7,533,12.7
gpqa_117,B,B,1,0,0,146,212,402,286,9,462,12.5
gpqa_118,,A,0,0,0,271,294,364,198,10,514,13.6
gpqa_119,B,A,0,0,0,201,255,348,208,9,354,12.2
gpqa_125,A,B,0,0,0,223,247,463,277,9,542,14.4
gpqa_127,A,A,1,0,0,193,232,368,274,9,2620,15.2
gpqa_129,B,A,0,0,0,316,264,364,115,9,259,12.6
gpqa_131,D,C,0,0,0,217,317,345,248,9,566,13.6
gpqa_134,C,C,1,0,0,329,206,380,232,9,585,13.9
gpqa_135,B,D,0,0,0,326,252,414,255,7,465,15.2
gpqa_137,A,A,1,0,0,124,234,298,193,9,383,10.7
gpqa_146,C,A,0,0,0,352,259,348,225,7,381,14.5
gpqa_148,B,D,0,0,0,170,286,423,336,9,598,15.0
gpqa_149,B,D,0,0,0,300,255,420,416,7,677,17.2
gpqa_156,D,D,1,0,0,157,246,523,325,9,553,15.2
gpqa_157,C,D,0,0,0,146,256,477,239,9,469,13.7
gpqa_164,A,D,0,0,0,219,239,399,191,9,486,13.1
gpqa_165,B,D,0,0,0,343,331,405,327,9,1152,17.9
gpqa_168,A,C,0,0,0,179,224,366,229,9,473,12.4
gpqa_169,,C,0,0,0,270,114,275,120,12,298,10.2
gpqa_170,B,A,0,0,0,361,281,341,357,9,608,16.6
gpqa_173,B,A,0,0,0,187,245,328,140,9,365,11.3
gpqa_175,B,B,1,0,0,320,382,393,312,9,609,18.1
gpqa_180,C,B,0,0,0,121,232,358,249,7,552,12.0
gpqa_184,B,D,0,0,0,119,259,323,408,9,621,14.0
gpqa_188,B,C,0,0,0,179,180,433,109,7,215,10.7
