question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,493,805,916,200,7,373,11.6
gpqa_002,C,B,0,0,0,1024,740,1024,1024,7,1234,14.9
gpqa_007,C,B,0,0,0,223,304,721,262,7,759,6.2
gpqa_009,B,B,1,0,0,280,227,240,234,7,414,4.6
gpqa_010,A,C,0,0,0,54,402,473,252,7,678,5.1
gpqa_012,A,A,1,0,0,412,436,209,197,7,569,5.5
gpqa_013,C,B,0,0,0,212,358,368,68,7,248,4.4
gpqa_018,C,A,0,0,0,170,295,346,679,60,1254,6.3
gpqa_019,A,D,0,0,0,132,125,324,164,7,394,3.6
gpqa_022,A,B,0,0,0,204,326,568,1024,7,1333,8.3
gpqa_023,C,B,0,0,0,318,418,541,204,7,455,6.1
gpqa_025,C,B,0,0,0,291,588,560,325,7,730,7.1
gpqa_026,A,A,1,0,0,349,464,474,296,7,491,6.7
gpqa_028,A,A,1,0,0,37,471,605,282,7,714,5.8
gpqa_035,C,C,1,0,0,166,332,283,349,7,535,5.1
gpqa_040,A,A,1,0,0,215,229,343,219,7,399,4.6
gpqa_042,A,A,1,0,0,352,339,508,99,7,402,5.5
gpqa_046,C,A,0,0,0,365,494,441,99,7,341,5.8
gpqa_049,B,C,0,0,0,310,324,272,117,7,350,4.5
gpqa_052,A,B,0,0,0,205,635,388,313,7,560,6.2
gpqa_053,A,C,0,0,0,63,440,456,954,7,1172,7.5
gpqa_054,A,A,1,0,0,246,413,638,320,7,554,6.5
gpqa_055,A,B,0,0,0,129,1024,991,355,7,647,9.8
gpqa_057,A,C,0,0,0,194,200,659,136,7,255,5.0
gpqa_059,C,A,0,0,0,169,296,260,34,7,260,3.6
gpqa_061,C,A,0,0,0,343,565,474,377,7,662,7.0
gpqa_064,C,A,0,0,0,202,378,303,228,7,550,4.8
gpqa_065,B,D,0,0,0,184,196,613,182,7,339,5.0
gpqa_069,A,D,0,0,0,338,372,251,252,7,450,5.4
gpqa_073,C,C,1,0,0,497,299,408,307,7,498,6.2
gpqa_074,A,A,1,0,0,35,596,495,330,7,998,6.0
gpqa_075,C,B,0,0,0,235,296,480,476,7,726,6.1
gpqa_076,A,B,0,0,0,83,730,1024,492,7,1080,9.2
gpqa_078,A,D,0,0,0,256,365,471,657,7,1048,7.4
gpqa_080,C,C,1,0,0,316,368,483,9,7,289,5.0
gpqa_082,A,B,0,0,0,507,577,576,1024,7,1233,10.2
gpqa_083,B,B,1,0,0,274,387,572,246,7,406,6.1
gpqa_084,A,A,1,0,0,907,359,449,320,7,630,8.2
gpqa_087,B,B,1,0,0,322,259,351,254,7,454,5.1
gpqa_088,A,A,1,0,0,229,459,618,229,7,507,6.2
gpqa_090,A,A,1,0,0,170,350,473,298,7,566,5.4
gpqa_094,A,B,0,0,0,291,524,353,600,7,888,7.2
gpqa_097,B,B,1,0,0,230,333,568,510,7,720,6.7
gpqa_098,A,A,1,0,0,269,360,753,9,7,398,5.8
gpqa_099,D,C,0,0,0,244,322,293,213,7,472,4.6
gpqa_100,A,A,1,0,0,294,393,491,459,7,713,6.8
gpqa_101,A,C,0,0,0,319,386,444,1024,7,1492,8.4
gpqa_102,A,C,0,0,0,401,599,1024,532,7,909,9.9
gpqa_103,A,C,0,0,0,229,207,299,184,7,431,4.3
gpqa_104,B,B,1,0,0,441,445,218,162,7,426,5.5
gpqa_106,A,A,1,0,0,87,367,369,990,7,1303,7.3
gpqa_110,A,A,1,0,0,237,407,423,114,7,490,5.0
gpqa_113,D,C,0,0,0,256,609,597,239,7,459,6.8
gpqa_114,C,B,0,0,0,740,211,428,972,7,1181,9.2
gpqa_116,B,A,0,0,0,401,213,429,1024,7,1284,8.1
gpqa_117,A,B,0,0,0,153,409,505,989,7,1193,8.3
gpqa_118,A,A,1,0,0,416,471,563,428,7,779,7.4
gpqa_119,A,A,1,0,0,197,416,376,295,7,449,5.4
gpqa_125,B,B,1,0,0,121,246,321,118,7,408,3.7
gpqa_127,B,A,0,0,0,34,944,941,290,7,3134,9.1
gpqa_129,C,A,0,0,0,312,295,307,111,7,268,4.5
gpqa_131,A,C,0,0,0,191,355,498,533,7,894,6.7
gpqa_134,A,C,0,0,0,481,343,730,9,7,401,6.4
gpqa_135,C,D,0,0,0,973,233,1019,80,7,297,9.0
gpqa_137,D,A,0,0,0,183,247,262,266,7,469,4.3
gpqa_146,B,A,0,0,0,384,322,737,1024,7,1192,9.5
gpqa_148,A,D,0,0,0,140,181,438,1024,7,1308,7.1
gpqa_149,A,D,0,0,0,290,288,674,559,7,839,7.3
gpqa_156,A,D,0,0,0,44,247,439,251,7,493,4.4
gpqa_157,C,D,0,0,0,30,375,299,248,7,490,4.3
gpqa_164,A,D,0,0,0,282,378,138,282,7,592,4.9
gpqa_165,C,D,0,0,0,116,379,313,324,138,1259,5.5
gpqa_168,A,C,0,0,0,133,353,380,110,7,362,4.5
gpqa_169,B,C,0,0,0,344,463,1024,323,7,502,8.7
gpqa_170,A,A,1,0,0,118,308,412,295,7,561,4.8
gpqa_173,C,A,0,0,0,449,261,355,118,7,352,5.1
gpqa_175,C,B,0,0,0,1024,843,769,351,7,661,11.6
gpqa_180,C,B,0,0,0,268,469,355,335,7,632,6.2
gpqa_184,B,D,0,0,0,129,426,1024,348,7,564,7.7
gpqa_188,A,C,0,0,0,146,315,282,274,7,393,4.5
