question_id,is_signal,said_yes,confidence,judgment_correct,raw_response
gpqa_000,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_000,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_002,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_002,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_007,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_007,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_009,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_009,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_010,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_010,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_012,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_012,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_013,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_013,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_018,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_018,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_019,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_019,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_022,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_022,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_023,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_023,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_025,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_025,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_026,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_026,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_028,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_028,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_035,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_035,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_040,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_040,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_042,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_042,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_046,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_046,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_049,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_049,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_052,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_052,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_053,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_053,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_054,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_054,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_055,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_055,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_057,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_057,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_059,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_059,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_061,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_061,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_064,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_064,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_065,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_065,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_069,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_069,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_073,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_073,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_074,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_074,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_075,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_075,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_076,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_076,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_078,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_078,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_080,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_080,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_082,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_082,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_083,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_083,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_084,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_084,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_087,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_087,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_088,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_088,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_090,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_090,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_094,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_094,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_097,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_097,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_098,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_098,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_099,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_099,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_100,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_100,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_101,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_101,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_102,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_102,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_103,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_103,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_104,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_104,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_106,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_106,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_110,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_110,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_113,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_113,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_114,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_114,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_116,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_116,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_117,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_117,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_118,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_118,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_119,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_119,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_125,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_125,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_127,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_127,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_129,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_129,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_131,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_131,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_134,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_134,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_135,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_135,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_137,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_137,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_146,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_146,False,True,3,False,"{""judgment"":""yes"",""confidence"":3}"
gpqa_148,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_148,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_149,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_149,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_156,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
gpqa_156,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_157,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_157,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_164,True,True,3,True,"{""judgment"":""yes"",""confidence"":3}"
gpqa_164,False,False,2,True,"{""judgment"":""no"",""confidence"":2}"
gpqa_165,True,False,2,False,"{""judgment"":""no"",""confidence"":2}"
