question_id,choice,answer,confidence,correct,difficulty,score,raw_response
gpqa_000,ANSWER,C,4,C,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_002,ANSWER,A,4,B,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_007,ANSWER,B,2,B,0.7778,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_009,ANSWER,B,4,B,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_010,ANSWER,C,3,C,0.8571,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_012,DELEGATE,,2,A,0.6667,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_013,ANSWER,C,2,B,0.6667,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_018,DELEGATE,,2,A,0.875,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_019,ANSWER,D,4,D,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_022,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_023,ANSWER,D,2,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_025,ANSWER,C,3,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_026,ANSWER,A,4,A,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_028,ANSWER,B,4,A,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_035,ANSWER,C,3,C,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_040,ANSWER,A,4,A,0.875,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_042,ANSWER,A,3,A,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_046,ANSWER,A,4,A,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_049,ANSWER,C,3,C,0.875,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_052,ANSWER,B,2,B,0.875,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_053,ANSWER,C,3,C,0.875,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_054,ANSWER,A,4,A,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_055,ANSWER,A,2,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_057,ANSWER,D,2,C,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_059,ANSWER,A,4,A,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_061,DELEGATE,,2,A,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_064,DELEGATE,,2,A,0.75,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_065,ANSWER,B,3,D,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_069,ANSWER,D,3,D,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_073,ANSWER,D,4,C,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_074,ANSWER,A,4,A,0.4444,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_075,ANSWER,B,3,B,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_076,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_078,DELEGATE,,2,D,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_080,DELEGATE,,2,C,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_082,ANSWER,B,4,B,0.875,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_083,ANSWER,B,3,B,0.8571,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_084,ANSWER,C,4,A,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_087,ANSWER,B,4,B,0.625,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_088,DELEGATE,,2,A,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_090,DELEGATE,,2,A,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_094,DELEGATE,,2,B,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_097,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_098,ANSWER,A,2,A,0.8889,0.65,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_099,ANSWER,C,3,C,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_100,ANSWER,A,3,A,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_101,ANSWER,D,3,C,0.625,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_102,ANSWER,D,2,C,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_103,ANSWER,C,4,C,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_104,ANSWER,D,4,B,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_106,ANSWER,B,3,A,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_110,DELEGATE,,2,A,0.875,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_113,ANSWER,A,4,C,0.625,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_114,ANSWER,C,3,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_116,ANSWER,A,4,A,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_117,ANSWER,B,3,B,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_118,DELEGATE,,2,A,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
