question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,C,0.65,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_002,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_007,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_009,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_010,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_012,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_013,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_018,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_019,ANSWER,D,0.65,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_022,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_023,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_025,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_026,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_028,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_035,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_040,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_042,ANSWER,A,0.65,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_046,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_049,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_052,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_053,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_054,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_055,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_057,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_059,ANSWER,A,0.65,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_061,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_064,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_065,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_069,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_073,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_074,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_075,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_076,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_078,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_080,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_082,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_083,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_084,ANSWER,B,0.1,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":1}"
gpqa_087,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
