question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,C,1,4.0,0,0.7778
gpqa_002,B,1,4.0,0,0.7778
gpqa_007,A,0,2.0,0,0.7778
gpqa_009,C,0,4.0,0,0.8889
gpqa_010,C,1,4.0,0,0.8571
gpqa_012,C,0,2.0,0,0.6667
gpqa_013,B,1,4.0,0,0.6667
gpqa_018,A,1,2.0,0,0.875
gpqa_019,D,1,4.0,0,0.7778
gpqa_022,C,0,2.0,0,0.8889
gpqa_023,A,0,2.0,0,0.8889
gpqa_025,A,0,2.0,0,0.8889
gpqa_026,A,1,4.0,0,0.8889
gpqa_028,A,1,4.0,0,0.7778
gpqa_035,A,0,2.0,0,0.8889
gpqa_040,A,1,2.0,0,0.875
gpqa_042,A,1,2.0,0,0.8889
gpqa_046,C,0,2.0,0,0.8889
gpqa_049,D,0,2.0,0,0.875
gpqa_052,C,0,2.0,0,0.875
gpqa_053,A,0,2.0,0,0.875
gpqa_054,C,0,2.0,0,0.7778
gpqa_055,A,0,2.0,0,0.8889
gpqa_057,A,0,2.0,0,0.8889
gpqa_059,D,0,2.0,0,0.8889
gpqa_061,C,0,2.0,0,0.7778
gpqa_064,A,1,2.0,0,0.75
gpqa_065,C,0,2.0,0,0.7778
gpqa_069,A,0,2.0,0,0.8889
gpqa_073,C,1,2.0,0,0.8889
gpqa_074,D,0,2.0,0,0.4444
gpqa_075,A,0,2.0,0,0.8889
gpqa_076,A,0,2.0,0,0.8889
gpqa_078,C,0,2.0,0,0.8889
gpqa_080,A,0,2.0,0,0.7778
gpqa_082,B,1,2.0,0,0.875
gpqa_083,A,0,2.0,0,0.8571
gpqa_084,A,1,2.0,0,0.8889
gpqa_087,B,1,2.0,0,0.625
gpqa_088,C,0,2.0,0,0.8889
gpqa_090,C,0,2.0,0,0.7778
gpqa_094,C,0,2.0,0,0.7778
gpqa_097,A,0,2.0,0,0.8889
gpqa_098,C,0,2.0,0,0.8889
gpqa_099,A,0,2.0,0,0.8889
gpqa_100,A,1,2.0,0,0.7778
gpqa_101,A,0,2.0,0,0.625
gpqa_102,A,0,2.0,0,0.7778
gpqa_103,C,1,2.0,0,0.8889
gpqa_104,B,1,2.0,0,0.7778
gpqa_106,A,1,2.0,0,0.8889
gpqa_110,A,1,2.0,0,0.875
gpqa_113,A,0,2.0,0,0.625
gpqa_114,B,1,2.0,0,0.8889
gpqa_116,A,1,2.0,0,0.7778
gpqa_117,C,0,2.0,0,0.8889
gpqa_118,D,0,2.0,0,0.8889
gpqa_119,D,0,2.0,0,0.7778
gpqa_125,C,0,2.0,0,0.875
gpqa_127,A,1,2.0,0,0.7778
gpqa_129,A,1,2.0,0,0.7778
gpqa_131,C,1,2.0,0,0.8889
gpqa_134,A,0,2.0,0,0.8889
gpqa_135,D,1,2.0,0,0.875
gpqa_137,A,1,2.0,0,0.8889
gpqa_146,A,1,2.0,0,0.875
gpqa_148,A,0,2.0,0,0.8889
gpqa_149,C,0,2.0,0,0.8889
gpqa_156,D,1,4.0,0,0.875
gpqa_157,A,0,2.0,0,0.7778
