model,diff_bin,n_questions,delegate_rate,answer_rate,mean_score,mean_difficulty,is_reasoning
claude-haiku-4-5-20251001,0,1,0.0,1.0,1.0,0.4444,False
claude-haiku-4-5-20251001,2,6,0.5,0.5,0.7667,0.6458,False
claude-haiku-4-5-20251001,3,23,0.3043,0.6956521739130435,0.6174,0.7754,False
claude-haiku-4-5-20251001,4,50,0.52,0.48,0.678,0.8837,False
claude-opus-4-1-20250805,0,1,0.0,1.0,1.0,0.4444,True
claude-opus-4-1-20250805,2,6,0.3333,0.6666666666666666,0.95,0.6458,True
claude-opus-4-1-20250805,3,23,0.1739,0.8260869565217391,0.5826,0.7754,True
claude-opus-4-1-20250805,4,50,0.22,0.78,0.727,0.8837,True
claude-opus-4-6-default,0,2,0.5,0.5,0.425,0.6667,False
claude-opus-4-6-default,2,7,0.0,1.0,0.5714,0.7778,False
claude-opus-4-6-default,4,17,0.0588,0.9411764705882353,0.8147,0.8829,False
deepseek-r1-0528,3,2,0.0,1.0,1.0,0.7778,True
deepseek-v3.2,0,2,0.5,0.5,0.75,0.6667,False
deepseek-v3.2,2,5,0.0,1.0,0.73,0.7778,False
deepseek-v3.2,4,12,0.25,0.75,0.7667,0.8828,False
gemini-2.0-flash-lite-001,0,1,0.0,1.0,0.0,0.4444,False
gemini-2.0-flash-lite-001,2,6,0.1667,0.8333333333333334,0.475,0.6458,False
gemini-2.0-flash-lite-001,3,23,0.0,1.0,0.4783,0.7754,False
gemini-2.0-flash-lite-001,4,50,0.02,0.98,0.557,0.8837,False
gemini-2.5-flash,0,1,0.0,1.0,0.0,0.4444,True
gemini-2.5-flash,2,5,0.0,1.0,0.33,0.6417,True
gemini-2.5-flash,3,20,0.0,1.0,0.395,0.7764,True
gemini-2.5-flash,4,44,0.0,1.0,0.275,0.884,True
gemini-3.1-pro-preview,0,1,0.0,1.0,1.0,0.4444,False
gemini-3.1-pro-preview,2,6,0.3333,0.6666666666666666,0.95,0.6458,False
gemini-3.1-pro-preview,3,21,0.1905,0.8095238095238095,0.8286,0.7752,False
gemini-3.1-pro-preview,4,46,0.087,0.9130434782608695,0.8565,0.8839,False
gemma-3-12b-it,0,1,0.0,1.0,1.0,0.4444,False
gemma-3-12b-it,2,6,0.0,1.0,1.0,0.6458,False
gemma-3-12b-it,3,23,0.0,1.0,0.3913,0.7754,False
gemma-3-12b-it,4,50,0.0,1.0,0.32,0.8837,False
gemma-3-1b-it,0,1,0.0,1.0,1.0,0.4444,False
gemma-3-1b-it,2,6,0.0,1.0,0.1667,0.6458,False
gemma-3-1b-it,3,23,0.0,1.0,0.4783,0.7754,False
gemma-3-1b-it,4,50,0.0,1.0,0.3,0.8837,False
gemma-3-27b-it,0,1,0.0,1.0,1.0,0.4444,False
gemma-3-27b-it,2,6,0.1667,0.8333333333333334,0.475,0.6458,False
gemma-3-27b-it,3,23,0.2609,0.7391304347826086,0.613,0.7754,False
gemma-3-27b-it,4,50,0.18,0.82,0.473,0.8837,False
gemma-3-4b-it,0,1,0.0,1.0,1.0,0.4444,False
gemma-3-4b-it,2,6,0.0,1.0,0.3333,0.6458,False
gemma-3-4b-it,3,23,0.0,1.0,0.4783,0.7754,False
gemma-3-4b-it,4,50,0.0,1.0,0.3,0.8837,False
gemma-4-26b-a4b-it,0,1,0.0,1.0,1.0,0.4444,False
gemma-4-26b-a4b-it,2,5,0.0,1.0,0.6,0.6417,False
gemma-4-26b-a4b-it,3,17,0.0,1.0,0.8235,0.7762,False
gemma-4-26b-a4b-it,4,36,0.0,1.0,0.8611,0.884,False
gemma-4-31b-it,0,1,0.0,1.0,1.0,0.4444,True
gemma-4-31b-it,2,2,0.0,1.0,0.5,0.6667,True
gemma-4-31b-it,3,9,0.0,1.0,1.0,0.7747,True
gemma-4-31b-it,4,20,0.0,1.0,0.85,0.8838,True
glm-5,0,3,0.0,1.0,1.0,0.7778,True
glm-5,3,1,0.0,1.0,1.0,0.8571,True
glm-5,4,1,0.0,1.0,1.0,0.8889,True
gpt-5.4-2026-03-05,0,1,0.0,1.0,1.0,0.4444,False
gpt-5.4-2026-03-05,2,6,0.3333,0.6666666666666666,0.45,0.6458,False
gpt-5.4-2026-03-05,3,23,0.2609,0.7391304347826086,0.6413,0.7754,False
gpt-5.4-2026-03-05,4,50,0.18,0.82,0.679,0.8837,False
gpt-5.4-mini-2026-03-17,0,1,0.0,1.0,1.0,0.4444,False
gpt-5.4-mini-2026-03-17,2,6,0.0,1.0,0.5,0.6458,False
gpt-5.4-mini-2026-03-17,3,23,0.0,1.0,0.5652,0.7754,False
gpt-5.4-mini-2026-03-17,4,50,0.0,1.0,0.52,0.8837,False
gpt-5.4-nano-2026-03-17,0,1,0.0,1.0,1.0,0.4444,False
gpt-5.4-nano-2026-03-17,2,6,0.1667,0.8333333333333334,0.5833,0.6458,False
gpt-5.4-nano-2026-03-17,3,23,0.3478,0.6521739130434783,0.4304,0.7754,False
gpt-5.4-nano-2026-03-17,4,50,0.42,0.58,0.501,0.8837,False
gpt-oss-20b,0,1,0.0,1.0,1.0,0.4444,False
gpt-oss-20b,2,6,0.0,1.0,0.6667,0.6458,False
gpt-oss-20b,3,23,0.0435,0.9565217391304348,0.6283,0.7754,False
gpt-oss-20b,4,50,0.0,1.0,0.517,0.8837,False
qwen3-235b-a22b-instruct-2507,0,1,0.0,1.0,1.0,0.4444,False
qwen3-235b-a22b-instruct-2507,2,6,0.1667,0.8333333333333334,0.6417,0.6458,False
qwen3-235b-a22b-instruct-2507,3,23,0.2174,0.782608695652174,0.6196,0.7754,False
qwen3-235b-a22b-instruct-2507,4,50,0.18,0.82,0.613,0.8837,False
qwen3-coder-480b-a35b-instruct,0,1,0.0,1.0,1.0,0.4444,False
qwen3-coder-480b-a35b-instruct,2,6,0.0,1.0,0.3333,0.6458,False
qwen3-coder-480b-a35b-instruct,3,23,0.0,1.0,0.6957,0.7754,False
qwen3-coder-480b-a35b-instruct,4,50,0.0,1.0,0.48,0.8837,False
qwen3-next-80b-a3b-instruct,0,1,0.0,1.0,1.0,0.4444,False
qwen3-next-80b-a3b-instruct,2,6,0.0,1.0,0.5,0.6458,False
qwen3-next-80b-a3b-instruct,3,23,0.0,1.0,0.3913,0.7754,False
qwen3-next-80b-a3b-instruct,4,50,0.0,1.0,0.46,0.8837,False
qwen3-next-80b-a3b-thinking,0,2,0.0,1.0,1.0,0.6667,True
qwen3-next-80b-a3b-thinking,2,4,0.0,1.0,0.75,0.7778,True
qwen3-next-80b-a3b-thinking,4,3,0.0,1.0,0.6667,0.8737,True
