question_id,expert_answer,final_answer,final_confidence,changed,correct,score,raw_response_expert,raw_response_generalist
gpqa_000,A,C,4,True,True,1.0,"To determine if two energy levels can be clearly resolved, we must consider the natural energy width (or uncertainty in energy) of each quantum state, which is dictated by the Heisenberg Uncertainty Principle. 

The relationship between the lifetime ($\tau$) of a state and its energy uncertainty ($\Delta E$) is given by:
$\Delta E \approx \frac{\hbar}{\tau}$

where $\hbar$ (the reduced Planck constant) is approximately $6.582 \times 10^{-16} \text{ eV}\cdot\text{s}$.

Let's calculate the energy ","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_002,A,B,4,True,True,1.0,"To find the expectation value of the given operator, we first write down the state vector $|\psi\rangle$ and the matrix representation of the operator $10\sigma_z + 5\sigma_x$.

The spin-half particle is in the superposition state:
$|\psi\rangle = \frac{1}{2}|\uparrow\rangle + \frac{\sqrt{3}}{2}|\downarrow\rangle$

In the basis of $\sigma_z$ eigenstates ($|\uparrow\rangle = \begin{pmatrix} 1 \\ 0 \end{pmatrix}$ and $|\downarrow\rangle = \begin{pmatrix} 0 \\ 1 \end{pmatrix}$), this state can be w","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_007,B,B,4,False,True,0.85,"To determine the correct conclusion, we need to analyze the phenotypes of the single and double mutants in comparison to the wild-type control.

**1. Identifying the Transcription Factor (G2):**
The problem states that at least one gene is a transcription factor acting upstream of the others. 
* The single mutant **g2** has **0% resistance**, meaning the loss of G2 completely abolishes the plant's resistance. 
* The double mutants **g1g2** and **g2g3** also show **0% resistance**. 
This indicate","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_009,A,B,4,True,True,1.0,"To determine which exoplanet has the highest density, we must consider both the composition and the mass of the planets, particularly how gravity affects planetary interiors. 

- **Planet a:** An Earth-mass and Earth-radius planet will have the exact same bulk density as Earth, which is approximately $5.5 \text{ g/cm}^3$.
- **Planet b:** This planet is explicitly stated to have a density of approximately $5.5 \text{ g/cm}^3$.
- **Planet d:** A planet with the same composition as Earth but only h","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_010,A,B,4,True,False,0.0,"To determine the incorrect statement, we must analyze the molecular biology of SARS-CoV-2 described in each option:

*   **Statement A is true.** Research has established that the SARS-CoV-2 ORF3a protein induces apoptosis primarily through the extrinsic pathway. It triggers the cleavage and activation of caspase-8 (a hallmark of the extrinsic, death-receptor-mediated pathway) without significantly altering the expression levels of Bcl-2, which is heavily involved in the intrinsic (mitochondrial","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_012,C,A,4,True,True,1.0,"To determine the valid structure of product 4, let's go through the reaction sequence step by step.

**Step 1: Hydrogenation of (R)-(+)-Limonene**
(R)-(+)-Limonene has two double bonds: a trisubstituted endocyclic double bond (C1-C2) and a disubstituted exocyclic double bond (C8-C9). When treated with 1 equivalent of hydrogen gas over a Pd/C catalyst, the less sterically hindered and more reactive exocyclic double bond is selectively reduced.
*   **Product 1:** (+)-p-menth-1-ene (specifically, (","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_013,A,B,4,True,True,1.0,"To determine where the disappearing peaks are most likely located, we must consider the common sources of artifacts in ChIP-seq experiments and how different crosslinking strategies affect them.

Standard ChIP-seq protocols rely on single-agent crosslinking using formaldehyde (PFA). However, it is a well-documented phenomenon in functional genomics that PFA fixation alone can produce highly reproducible but **artifactual ""phantom peaks"" or ""hyper-ChIPable"" regions**. Because formaldehyde is a sm","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_018,A,A,4,False,True,0.85,"To determine the correct products of the given Michael reactions, we need to identify the nucleophile (Michael donor) and the electrophile (Michael acceptor) in each case, and determine the exact site of bond formation.

**Reaction A:**
*   **Nucleophile:** Methyl 2-oxocyclohexane-1-carboxylate is a $\beta$-keto ester. The hydrogen atom at the C1 position (the carbon between the ketone and the ester carbonyls) is highly acidic (pKa $\approx$ 11) compared to the protons at the C3 position (pKa $\","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_019,D,D,4,False,True,0.85,"To understand the ""impulse approximation"" in the context of many-body nuclear physics, we must look at the specific assumptions that allow physicists to treat bound nucleons as if they were free particles during an interaction (such as electron-nucleus or neutrino-nucleus scattering). 

The impulse approximation fundamentally relies on three main assumptions:
1. **Single-particle interaction:** The incident probe (or interaction current) interacts with only one nucleon at a time, meaning multi-n","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_022,C,B,4,True,True,1.0,"To determine the correct structures of the products, we must consider the mechanism of the reaction between ((2,2-dimethylbut-3-en-1-yl)oxy)benzene and hydrogen bromide (HBr).

**1. Protonation and Carbocation Formation:**
The starting material is a phenyl ether with an alkene chain: $\text{Ph–O–CH}_2\text{–C(CH}_3)_2\text{–CH=CH}_2$.
When it reacts with HBr, the alkene undergoes electrophilic addition. According to Markovnikov's rule, the proton ($\text{H}^+$) adds to the terminal carbon, gener","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
