question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,C,C,1,0,0,500,413,1024,272,7,456,24.5
gpqa_002,D,B,0,0,0,748,726,873,260,7,475,22.8
gpqa_007,C,B,0,0,0,190,531,817,352,7,859,16.8
gpqa_009,B,B,1,0,0,199,526,733,144,7,328,14.2
gpqa_010,C,C,1,0,0,94,446,636,266,7,700,12.8
gpqa_012,A,A,1,0,0,270,568,699,371,7,747,16.7
gpqa_013,B,B,1,0,0,112,412,693,132,7,316,11.9
gpqa_018,A,A,1,0,0,170,587,726,129,7,708,14.5
gpqa_019,B,D,0,0,0,124,463,652,266,7,500,13.6
gpqa_022,A,B,0,0,0,127,403,805,249,7,560,14.1
gpqa_023,D,B,0,0,0,499,657,623,178,7,439,17.2
gpqa_025,C,B,0,0,0,313,612,784,172,7,580,16.5
gpqa_026,A,A,1,0,0,161,390,795,177,7,376,13.5
gpqa_028,B,A,0,0,0,238,417,801,249,7,688,15.1
gpqa_035,A,C,0,0,0,98,413,647,116,7,307,11.3
gpqa_040,B,A,0,0,0,135,398,826,132,7,316,13.1
gpqa_042,B,A,0,0,0,318,952,1024,311,7,617,23.3
gpqa_046,A,A,1,0,0,320,629,1022,197,7,451,19.3
gpqa_049,B,C,0,0,0,146,367,667,137,7,374,11.9
gpqa_052,B,B,1,0,0,122,414,892,130,7,397,14.2
gpqa_053,D,C,0,0,0,175,437,715,182,7,404,13.8
gpqa_054,A,A,1,0,0,247,502,854,188,7,427,16.2
gpqa_055,A,B,0,0,0,118,591,568,226,7,522,13.8
gpqa_057,D,C,0,0,0,69,368,579,130,7,253,10.6
gpqa_059,A,A,1,0,0,348,424,921,201,7,442,17.2
gpqa_061,B,A,0,0,0,132,452,1024,366,7,655,17.7
gpqa_064,D,A,0,0,0,149,332,862,266,7,594,14.1
gpqa_065,C,D,0,0,0,191,431,694,158,7,318,12.9
gpqa_069,D,D,1,0,0,233,426,702,337,7,538,14.9
gpqa_073,C,C,1,0,0,569,473,1024,436,7,641,22.0
gpqa_074,A,A,1,0,0,96,438,689,300,7,975,13.7
gpqa_075,D,B,0,0,0,137,358,655,204,7,461,12.0
gpqa_076,A,B,0,0,0,153,543,783,274,7,881,15.6
gpqa_078,D,D,1,0,0,190,456,799,307,7,730,15.4
gpqa_080,D,C,0,0,0,250,534,797,403,7,688,17.3
gpqa_082,B,B,1,0,0,979,807,1024,698,7,927,30.3
gpqa_083,B,B,1,0,0,118,417,813,152,7,316,13.2
gpqa_084,A,A,1,0,0,433,472,1014,165,7,489,18.2
gpqa_087,B,B,1,0,0,131,383,753,365,7,569,14.2
gpqa_088,C,A,0,0,0,149,558,843,263,7,555,15.8
gpqa_090,A,A,1,0,0,83,476,917,384,7,656,16.1
gpqa_094,A,B,0,0,0,232,494,787,606,7,898,18.4
gpqa_097,A,B,0,0,0,147,457,763,131,7,345,13.2
gpqa_098,A,A,1,0,0,211,494,1022,164,7,560,16.6
gpqa_099,C,C,1,0,0,236,454,725,101,7,364,13.4
gpqa_100,D,A,0,0,0,148,477,645,131,7,389,12.5
gpqa_101,C,C,1,0,0,131,496,745,185,7,660,13.9
gpqa_102,B,C,0,0,0,89,420,1024,140,7,521,14.7
gpqa_103,B,C,0,0,0,335,394,758,134,7,391,14.6
gpqa_104,B,B,1,0,0,365,423,733,195,7,472,15.2
gpqa_106,A,A,1,0,0,88,369,654,283,7,600,12.4
gpqa_110,A,A,1,0,0,251,377,799,247,7,627,14.8
gpqa_113,D,C,0,0,0,202,406,1024,340,7,564,17.0
gpqa_114,B,B,1,0,0,211,413,963,91,7,310,14.7
gpqa_116,B,A,0,0,0,185,500,519,209,7,471,12.5
gpqa_117,A,B,0,0,0,120,378,672,174,7,382,11.9
gpqa_118,D,A,0,0,0,411,437,899,157,7,512,16.7
gpqa_119,D,A,0,0,0,146,402,788,141,7,299,13.0
gpqa_125,C,B,0,0,0,244,473,714,178,7,474,14.2
gpqa_127,B,A,0,0,0,109,415,572,184,7,3034,13.1
gpqa_129,C,A,0,0,0,229,454,603,114,7,277,12.3
gpqa_131,C,C,1,0,0,376,443,906,397,7,764,18.6
gpqa_134,C,C,1,0,0,317,623,885,235,7,630,18.0
gpqa_135,B,D,0,0,0,430,577,647,196,7,417,16.3
gpqa_137,D,A,0,0,0,103,375,603,343,7,550,12.7
gpqa_146,B,A,0,0,0,671,514,1024,754,7,930,25.6
gpqa_148,D,D,1,0,0,174,479,820,152,7,438,14.4
gpqa_149,D,D,1,0,0,307,618,980,421,7,710,20.2
gpqa_156,D,D,1,0,0,111,536,685,162,7,408,13.2
gpqa_157,D,D,1,0,0,194,365,794,110,7,356,12.9
gpqa_164,C,D,0,0,0,116,423,708,147,7,461,12.5
gpqa_165,D,D,1,0,0,365,559,732,209,7,1149,16.9
gpqa_168,A,C,0,0,0,222,474,686,148,7,404,13.5
gpqa_169,C,C,1,0,0,417,583,802,144,7,333,17.2
gpqa_170,C,A,0,0,0,330,586,657,192,7,462,15.4
gpqa_173,B,A,0,0,0,565,489,1024,166,7,409,19.5
gpqa_175,B,B,1,0,0,870,474,1024,405,7,719,24.0
gpqa_180,B,B,1,0,0,145,462,937,180,7,493,15.2
gpqa_184,D,D,1,0,0,194,427,866,113,7,333,14.3
gpqa_188,B,C,0,0,0,134,367,663,106,7,229,11.3
