question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_002,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_007,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_009,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_010,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_012,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_013,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_018,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_019,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_022,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_023,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_025,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_026,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_028,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_035,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_040,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_042,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_046,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_049,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_052,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_053,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_054,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_055,ANSWER,B,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_057,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_059,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_061,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_064,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_065,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_069,ANSWER,D,0.65,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_073,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_074,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_075,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_076,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_078,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_080,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_082,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_083,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_084,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_087,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_088,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_090,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_094,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_097,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_098,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_099,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_100,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_101,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_102,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_103,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_104,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_106,ANSWER,B,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_110,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_113,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_114,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_116,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_117,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":4}"
gpqa_118,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_119,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_125,ANSWER,B,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_127,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_129,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_131,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_134,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_135,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_137,ANSWER,A,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_146,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":4}"
gpqa_148,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_149,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_156,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_157,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_164,DELEGATE,,0.9,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_165,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_168,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_169,ANSWER,A,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":4}"
gpqa_170,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_173,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_175,ANSWER,C,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
gpqa_180,ANSWER,D,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_184,ANSWER,D,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":4}"
gpqa_188,ANSWER,C,1.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":3}"
