task,task_stem,domain,threshold,n_items,n_models,alpha
Task 1 (Delegate Game),t01_delegate_game,ALL,23,2,23,0.575159766601834
Task 1 (Delegate Game),t01_delegate_game,ALL,20,19,20,0.7242937627514043
Task 1 (Delegate Game),t01_delegate_game,ALL,15,74,15,0.8754044960861579
Task 1 (Delegate Game),t01_delegate_game,astrophysics,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,astrophysics,20,2,20,0.7737649620087601
Task 1 (Delegate Game),t01_delegate_game,astrophysics,15,4,17,0.2257016749060813
Task 1 (Delegate Game),t01_delegate_game,chemistry_(general),23,0,0,
Task 1 (Delegate Game),t01_delegate_game,chemistry_(general),20,0,0,
Task 1 (Delegate Game),t01_delegate_game,chemistry_(general),15,9,15,0.208551098797305
Task 1 (Delegate Game),t01_delegate_game,electromagnetism_and_photonics,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,electromagnetism_and_photonics,20,0,0,
Task 1 (Delegate Game),t01_delegate_game,electromagnetism_and_photonics,15,1,16,
Task 1 (Delegate Game),t01_delegate_game,genetics,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,genetics,20,2,20,0.10059277887551654
Task 1 (Delegate Game),t01_delegate_game,genetics,15,3,16,-0.004337610699439387
Task 1 (Delegate Game),t01_delegate_game,high-energy_particle_physics,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,high-energy_particle_physics,20,1,20,
Task 1 (Delegate Game),t01_delegate_game,high-energy_particle_physics,15,6,15,0.45223076637319376
Task 1 (Delegate Game),t01_delegate_game,molecular_biology,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,molecular_biology,20,3,20,0.18059328479843545
Task 1 (Delegate Game),t01_delegate_game,molecular_biology,15,10,16,0.05142328450639715
Task 1 (Delegate Game),t01_delegate_game,organic_chemistry,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,organic_chemistry,20,7,20,0.4550311729737569
Task 1 (Delegate Game),t01_delegate_game,organic_chemistry,15,27,16,0.8322523720434074
Task 1 (Delegate Game),t01_delegate_game,physics_(general),23,1,23,
Task 1 (Delegate Game),t01_delegate_game,physics_(general),20,1,23,
Task 1 (Delegate Game),t01_delegate_game,physics_(general),15,7,16,0.3875563492100593
Task 1 (Delegate Game),t01_delegate_game,quantum_mechanics,23,1,23,
Task 1 (Delegate Game),t01_delegate_game,quantum_mechanics,20,2,21,0.38717269785230934
Task 1 (Delegate Game),t01_delegate_game,quantum_mechanics,15,5,15,0.7281004369067416
Task 1 (Delegate Game),t01_delegate_game,relativistic_mechanics,23,0,0,
Task 1 (Delegate Game),t01_delegate_game,relativistic_mechanics,20,1,20,
Task 1 (Delegate Game),t01_delegate_game,relativistic_mechanics,15,2,19,0.5723049697684706
Task 2 (Declared MSV Probe),t02_declared_probe,ALL,23,25,23,0.9738480355283381
Task 2 (Declared MSV Probe),t02_declared_probe,ALL,20,32,21,0.9730383019631618
Task 2 (Declared MSV Probe),t02_declared_probe,ALL,15,59,16,0.9887314980816938
Task 3 (Second-Chance),t03_second_chance,ALL,23,6,23,0.6661209878968447
Task 3 (Second-Chance),t03_second_chance,ALL,20,26,20,0.8517594280936016
Task 3 (Second-Chance),t03_second_chance,ALL,15,55,15,0.8788187689247757
Task 3 (Second-Chance),t03_second_chance,astrophysics,23,1,23,
Task 3 (Second-Chance),t03_second_chance,astrophysics,20,2,21,-0.018610690326768875
Task 3 (Second-Chance),t03_second_chance,astrophysics,15,4,15,0.2192755498059508
Task 3 (Second-Chance),t03_second_chance,chemistry_(general),23,0,0,
Task 3 (Second-Chance),t03_second_chance,chemistry_(general),20,2,20,0.14193933366484357
Task 3 (Second-Chance),t03_second_chance,chemistry_(general),15,5,17,0.394383298868089
Task 3 (Second-Chance),t03_second_chance,electromagnetism_and_photonics,23,0,0,
