question_id,choice,answer,confidence,correct,difficulty,score,raw_response
gpqa_000,ANSWER,C,4,C,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_002,ANSWER,D,4,B,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}"
gpqa_007,ANSWER,B,2,B,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_009,ANSWER,B,3,B,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_010,DELEGATE,,2,C,0.8571,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_012,DELEGATE,,2,A,0.6667,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,ANSWER,B,2,B,0.6667,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_018,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,D,3,D,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_022,ANSWER,B,2,B,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_023,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_025,ANSWER,D,2,B,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_026,ANSWER,D,2,A,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_028,ANSWER,A,3,A,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_035,ANSWER,C,3,C,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_040,ANSWER,A,4,A,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}"
gpqa_042,ANSWER,A,4,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}"
gpqa_046,ANSWER,A,4,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}"
gpqa_049,ANSWER,C,3,C,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
