question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_002,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_007,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_009,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_010,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_013,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_018,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_022,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_023,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_028,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_035,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_040,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_042,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_049,A,C,0.3333333333333333,1.0,0.381,"{""answer"": ""A"", ""confidence"": 2}","{""answer"": ""C"", ""confidence"": 3}"
gpqa_052,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_055,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_057,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_059,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_061,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_064,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_065,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_069,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 2}","{""answer"": ""B"", ""confidence"": 2}"
gpqa_073,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_074,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_075,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_076,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_078,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_080,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_082,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_083,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 3}","{""answer"": ""B"", ""confidence"": 3}"
gpqa_084,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_087,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_088,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_090,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_094,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_097,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_098,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
