question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.97}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_002,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.86}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_007,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.74}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_009,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.93}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_010,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.72}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_012,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.64}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_013,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.9}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_018,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.61}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_019,D,D,False,True,True,0.65,"{""answer"":""D"",""confidence"":0.93}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_022,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.88}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_023,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.79}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_025,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.68}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_026,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.83}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_028,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.96}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_035,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.87}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_040,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.95}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_042,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.78}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_046,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_049,A,A,False,False,False,0.1,"{""answer"":""A"",""confidence"":0.86}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_052,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.9}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_053,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.94}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_054,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_055,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.92}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_057,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.95}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
