id,conf_familiar,conf_novel,differentiation,score,raw_response_familiar,raw_response_novel
em_pair_001,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_002,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_003,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_004,2,4,-0.6666666666666666,0.1667,"{""answer"": ""B"", ""confidence"": 2}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_005,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_006,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_007,4,3,0.3333333333333333,0.6667,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 3}"
em_pair_008,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_009,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_010,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_011,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_012,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
em_pair_013,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_014,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_015,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_016,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_017,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_018,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_019,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_020,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_021,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_022,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_023,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_024,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_025,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_026,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_027,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_028,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_029,4,4,0.0,0.5,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_030,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_031,4,4,0.0,0.5,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_032,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
em_pair_033,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
em_pair_034,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_035,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
em_pair_036,4,4,0.0,0.5,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
em_pair_037,4,4,0.0,0.5,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 4}"
