question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.0,0.7778,0.7778,True,0.3778,"{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}"
gpqa_002,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_007,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_009,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_010,0.0,0.8571,0.8571,True,0.3143,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_012,0.0,0.6667,0.6667,True,0.4666,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_013,0.0,0.6667,0.6667,False,0.2666,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_018,0.0,0.875,0.875,True,0.3,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_019,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
gpqa_022,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_023,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_025,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_026,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_028,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_035,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_040,0.0,0.875,0.875,True,0.3,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_042,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_046,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_049,0.0,0.875,0.875,True,0.3,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_052,0.0,0.875,0.875,True,0.3,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_053,0.0,0.875,0.875,True,0.3,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_054,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_055,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_057,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_059,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_061,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_064,0.0,0.75,0.75,True,0.4,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
