question_id,choice,answer,confidence,correct,difficulty,score,raw_response
gpqa_000,ANSWER,C,1,C,0.7778,0.4,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":1}"
gpqa_002,ANSWER,A,3,B,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_007,ANSWER,A,2,B,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_009,ANSWER,B,3,B,0.8889,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_010,DELEGATE,,2,C,0.8571,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_012,DELEGATE,,2,A,0.6667,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_013,ANSWER,B,2,B,0.6667,0.65,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":2}"
gpqa_018,DELEGATE,,2,A,0.875,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_019,ANSWER,D,3,D,0.7778,1.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_022,ANSWER,D,2,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_023,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_025,ANSWER,A,2,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_026,ANSWER,C,2,A,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":2}"
gpqa_028,ANSWER,B,3,A,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_035,ANSWER,D,2,C,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":2}"
gpqa_040,ANSWER,A,2,A,0.875,0.65,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_042,DELEGATE,,2,A,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_046,ANSWER,C,1,A,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":1}"
gpqa_049,DELEGATE,,2,C,0.875,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_052,DELEGATE,,2,B,0.875,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_053,ANSWER,B,3,C,0.875,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_054,DELEGATE,,2,A,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_055,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_057,ANSWER,D,3,C,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_059,ANSWER,A,2,A,0.8889,0.65,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_061,DELEGATE,,2,A,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_064,DELEGATE,,2,A,0.75,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_065,ANSWER,B,3,D,0.7778,0.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_069,DELEGATE,,2,D,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_073,ANSWER,D,3,C,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_074,ANSWER,A,3,A,0.4444,1.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":3}"
gpqa_075,ANSWER,D,3,B,0.8889,0.0,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":3}"
gpqa_076,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_078,DELEGATE,,2,D,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_080,DELEGATE,,2,C,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_082,ANSWER,A,2,B,0.875,0.0,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":2}"
gpqa_083,DELEGATE,,2,B,0.8571,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_084,DELEGATE,,2,A,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_087,ANSWER,B,3,B,0.625,1.0,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":3}"
gpqa_088,DELEGATE,,2,A,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_090,DELEGATE,,2,A,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_094,DELEGATE,,2,B,0.7778,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
gpqa_097,DELEGATE,,2,B,0.8889,0.85,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}"
