question_id,n_models,delegation_rate,mean_score,discrimination_rpb,discrimination_p
gpqa_000,23,0.0,0.7999999999999999,,
gpqa_002,23,0.0,0.391304347826087,,
gpqa_007,22,0.09090909090909091,0.5295454545454545,0.22299354229877555,0.3185153615218285
gpqa_009,22,0.0,0.6363636363636364,,
gpqa_010,22,0.2727272727272727,0.6409090909090909,0.28968081506943016,0.19098803167969464
gpqa_012,21,0.47619047619047616,0.8333333333333334,0.05683548421369576,0.8066872450310261
gpqa_013,21,0.047619047619047616,0.5142857142857143,0.16333629101137523,0.4792924386474838
gpqa_018,21,0.2857142857142857,0.6547619047619048,0.2920295327843807,0.1989593933504712
gpqa_019,21,0.0,0.888095238095238,,
gpqa_022,20,0.05,0.40750000000000003,0.2203141038226517,0.3506274290368342
gpqa_023,20,0.2,0.42000000000000004,0.46037382892244977,0.041089635834630094
gpqa_025,20,0.05,0.475,0.17875646228705835,0.45081681690265224
gpqa_026,20,0.0,0.7,,
gpqa_028,20,0.0,0.65,,
gpqa_035,20,0.0,0.6825,,
gpqa_040,20,0.1,0.8,0.04723501677209461,0.8432411380959152
gpqa_042,20,0.15,0.71,0.14042660872065219,0.5548499320087255
gpqa_046,20,0.0,0.85,,
gpqa_049,20,0.1,0.6849999999999999,0.12206409341456868,0.6081878850888094
gpqa_052,19,0.05263157894736842,0.5342105263157895,0.1593536972040348,0.5146367024415905
gpqa_053,19,0.0,0.5605263157894737,,
gpqa_054,19,0.05263157894736842,0.886842105263158,-0.028377316062653868,0.9081923218729727
gpqa_055,19,0.10526315789473684,0.6684210526315789,0.136490304082215,0.5774074510768199
gpqa_057,19,0.0,0.2631578947368421,,
gpqa_059,19,0.05263157894736842,0.6578947368421053,0.09966987242600776,0.6847646848096356
gpqa_061,19,0.3157894736842105,0.6894736842105263,0.2615649944666846,0.2793835425350231
gpqa_064,18,0.2777777777777778,0.6055555555555556,0.34705755440808633,0.1582317465405611
gpqa_065,18,0.0,0.5361111111111111,,
gpqa_069,18,0.3333333333333333,0.6166666666666667,0.3747014093005325,0.12551189016896347
gpqa_073,18,0.0,0.42500000000000004,,
gpqa_074,18,0.0,0.8888888888888888,,
gpqa_075,18,0.1111111111111111,0.31666666666666665,0.4193139346887672,0.08324570742934786
gpqa_076,17,0.29411764705882354,0.36764705882352944,0.7051171395023625,0.0015698156010663475
gpqa_078,17,0.23529411764705882,0.43529411764705883,0.4951759739721274,0.04327635040779888
gpqa_080,17,0.35294117647058826,0.5941176470588236,0.42671161466275387,0.08760606389467195
gpqa_082,17,0.0,0.6852941176470588,,
gpqa_083,17,0.11764705882352941,0.8058823529411764,0.04283529368781191,0.8703329066914187
gpqa_084,17,0.11764705882352941,0.5499999999999999,0.2340194450705772,0.36597593298793063
gpqa_087,17,0.0,0.9205882352941177,,
gpqa_088,17,0.4117647058823529,0.6441176470588235,0.4097442584316101,0.10238758389307981
gpqa_090,17,0.35294117647058826,0.5941176470588236,0.42671161466275387,0.08760606389467195
gpqa_094,17,0.4117647058823529,0.4676470588235294,0.7217450353698468,0.0010719774599338239
gpqa_097,17,0.23529411764705882,0.3764705882352941,0.5805015921740954,0.014556587034620849
gpqa_098,17,0.058823529411764705,0.39999999999999997,0.25650929485814705,0.32031249935764994
gpqa_099,17,0.058823529411764705,0.3235294117647059,0.2958067588077099,0.2490034712457649
gpqa_100,17,0.0,0.7823529411764706,,
gpqa_101,17,0.058823529411764705,0.5058823529411764,0.048450158311150904,0.8534984998876755
gpqa_102,17,0.11764705882352941,0.15882352941176472,0.7328557559024813,0.0008184442273776347
gpqa_103,17,0.058823529411764705,0.361764705882353,0.27526334229440486,0.28492414097280894
gpqa_104,17,0.058823529411764705,0.38235294117647056,0.2519762362361628,0.3292354172684571
gpqa_106,17,0.0,0.21470588235294116,,
gpqa_110,17,0.23529411764705882,0.8852941176470589,-0.08117563847198479,0.756778928324935
gpqa_113,17,0.0,0.2735294117647059,,
gpqa_114,17,0.17647058823529413,0.48235294117647054,0.3680590740959502,0.1460676159557929
gpqa_116,17,0.0,0.8411764705882353,,
gpqa_117,17,0.0,0.5088235294117647,,
gpqa_118,17,0.35294117647058826,0.7117647058823531,0.25510972279772753,0.32305217518614676
gpqa_119,17,0.0,0.5882352941176471,,
gpqa_125,17,0.11764705882352941,0.33529411764705885,0.4122213977802511,0.10012591868876819
gpqa_127,16,0.125,0.5,0.2917299829957891,0.27293410751606867
gpqa_129,16,0.0,0.378125,,
gpqa_131,16,0.0,0.040625,,
gpqa_134,16,0.0,0.49687499999999996,,
gpqa_135,16,0.0,0.684375,,
gpqa_137,16,0.0,0.790625,,
gpqa_146,16,0.125,0.4375,0.3471377136410496,0.1877273272415369
gpqa_148,16,0.0,0.58125,,
gpqa_149,16,0.25,0.3375,0.6757731744600031,0.00406059683072982
gpqa_156,16,0.0,0.746875,,
gpqa_157,16,0.0,0.39375,,
gpqa_164,15,0.2,0.37,0.5267415375673764,0.04365542461624703
gpqa_165,15,0.3333333333333333,0.7266666666666667,0.2322867152527799,0.40479944785343136
gpqa_168,15,0.13333333333333333,0.4233333333333334,0.36350436848503637,0.1829197791162111
gpqa_169,15,0.06666666666666667,0.5666666666666667,0.1607555129100333,0.5670959582976479
gpqa_170,14,0.07142857142857142,0.5357142857142857,0.18443490727424716,0.5279067653832594
gpqa_173,14,0.07142857142857142,0.4178571428571428,0.2476924906641364,0.39321856944918865
gpqa_175,14,0.07142857142857142,0.75,0.06887782316457312,0.81501149655529
gpqa_180,14,0.07142857142857142,0.17857142857142858,0.5346262175290618,0.048877536186509404
gpqa_184,14,0.0,0.6178571428571429,,
gpqa_188,14,0.0,0.6642857142857144,,
