question_id,category,difficulty,dims_parsed,routing_choice,raw_response,declared_CE,declared_ER,declared_CI,declared_EM,declared_PI,declared_activation,routing_score
gpqa_000,physics_(general),0.7778,5,ANSWER,"{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}",4,4,4,4,1,0.4,0.0
gpqa_002,quantum_mechanics,0.7778,5,ANSWER,"{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}",4,4,4,4,1,0.4,0.0
gpqa_007,genetics,0.7778,5,DELIBERATE,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 3, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",4,4,4,3,1,0.4667,0.7
gpqa_009,astrophysics,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,4,4,4,1,0.4,0.0
gpqa_010,molecular_biology,0.8571,5,DELIBERATE,"```json
{""CE"": 3, ""ER"": 4, ""CI"": 3, ""EM"": 3, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",3,4,3,3,1,0.4667,0.7
gpqa_012,organic_chemistry,0.6667,5,DELIBERATE,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",4,4,4,4,1,0.4,0.7
gpqa_013,molecular_biology,0.6667,5,DELEGATE,"```json
{""CE"": 2, ""ER"": 4, ""CI"": 3, ""EM"": 2, ""PI"": 1, ""routing"": ""DELEGATE""}
```",2,4,3,2,1,0.6,1.0
gpqa_018,organic_chemistry,0.875,5,DELIBERATE,"```json
{""CE"": 4, ""ER"": 4, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",4,4,4,4,1,0.4,0.7
gpqa_019,quantum_mechanics,0.7778,5,DELIBERATE,"```json
{""CE"": 3, ""ER"": 4, ""CI"": 4, ""EM"": 3, ""PI"": 1, ""routing"": ""DELIBERATE""}
```",3,4,4,3,1,0.5333,0.7
gpqa_022,organic_chemistry,0.8889,5,DELIBERATE,"```json
{""CE"": 4, ""ER"": 2, ""CI"": 4, ""EM"": 4, ""PI"": 2, ""routing"": ""DELIBERATE""}
```",4,2,4,4,2,0.3333,0.7
gpqa_023,organic_chemistry,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_025,organic_chemistry,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_026,molecular_biology,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_028,genetics,0.7778,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_035,astrophysics,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_040,relativistic_mechanics,0.875,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
gpqa_042,organic_chemistry,0.8889,5,ANSWER,"```json
{""CE"": 4, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 1, ""routing"": ""ANSWER""}
```",4,1,4,4,1,0.2,0.0
