task_a,task_b,n_models,spearman_rho,spearman_p,kendall_tau
t03_second_chance,t08_behavioral_em,23,-0.15004118507069295,0.4943993882909487,-0.12379689211803459
t04_confidence_entropy,t10_dpp_sequence,22,0.04010166779510815,0.859363231714965,0.008676810001882659
t03_second_chance,t11_mc_binary_pairs,23,0.059812160158180916,0.7863179742839249,0.03571428571428571
t05_teammate_delegate,t08_behavioral_em,23,0.06919294804638979,0.7537424765672089,0.04853828256856133
t05_teammate_delegate,t07_behavioral_ci,21,0.09616636208130985,0.6783848166628568,0.038277950117547636
t07_behavioral_ci,t10_dpp_sequence,20,0.10011291638670138,0.6745234191341443,0.026525292253301264
t08_behavioral_em,t10_dpp_sequence,22,0.15554207808858841,0.48944215039375805,0.11698273718070278
t03_second_chance,t04_confidence_entropy,23,0.16851989642212709,0.4421040892258184,0.1504953445652232
t05_teammate_delegate,t10_dpp_sequence,22,0.17057329118482617,0.4478844856688372,0.13882896003012254
t04_confidence_entropy,t05_teammate_delegate,23,0.21442687747035571,0.32585437772394094,0.1383399209486166
t01_delegate_game,t11_mc_binary_pairs,23,0.2338689811887277,0.2828083785543402,0.12723683196439195
t01_delegate_game,t08_behavioral_em,23,0.2417784381529202,0.2663717102787394,0.19935523018297535
t05_teammate_delegate,t11_mc_binary_pairs,23,0.2599456466804658,0.2309708853690743,0.14257453695652725
t10_dpp_sequence,t11_mc_binary_pairs,22,0.303954802259887,0.16905315955454983,0.20434782608695654
t07_behavioral_ci,t11_mc_binary_pairs,21,0.30419241125447916,0.18003173393027735,0.2254203124425252
t03_second_chance,t07_behavioral_ci,21,0.3047434041630698,0.17920449489156962,0.22009821317589895
t03_second_chance,t10_dpp_sequence,22,0.3101694915254238,0.16007118107362633,0.2391304347826087
t02_declared_probe,t03_second_chance,23,0.3167778698140277,0.1408239161171326,0.21386180543479086
t07_behavioral_ci,t08_behavioral_em,21,0.3453725369082126,0.12517367754827619,0.26589726863219815
t09_behavioral_pi,t10_dpp_sequence,22,0.3533070095311851,0.10675762439751836,0.2401769624731362
t07_behavioral_ci,t09_behavioral_pi,21,0.37085238818584804,0.09791950962681165,0.29952040330172064
t02_declared_probe,t05_teammate_delegate,23,0.38142292490118584,0.07252253296442943,0.2173913043478261
t01_delegate_game,t05_teammate_delegate,23,0.3845774073412102,0.06999709641876757,0.36905052478566436
t01_delegate_game,t09_behavioral_pi,23,0.38866902333379855,0.06682164904502247,0.3160025280303364
t01_delegate_game,t06_behavioral_er,23,0.39975600671956685,0.05876843136015496,0.31648276117128404
t05_teammate_delegate,t06_behavioral_er,23,0.4092432104366667,0.0524887060411703,0.2828981428473372
t01_delegate_game,t04_confidence_entropy,23,0.42165106486124965,0.04507463484156238,0.28968482053068284
t01_delegate_game,t02_declared_probe,23,0.4236283265956518,0.04397284801364153,0.30555796138167907
t01_delegate_game,t07_behavioral_ci,21,0.4317295188556567,0.05066719792876433,0.3076923076923077
t01_delegate_game,t03_second_chance,23,0.43213845572716275,0.03946895982355782,0.3180920799109799
t06_behavioral_er,t10_dpp_sequence,22,0.4343820116463956,0.04337695860589357,0.30674241488732706
t03_second_chance,t09_behavioral_pi,23,0.43878320266660265,0.03621113845598677,0.36727205365339943
t02_declared_probe,t08_behavioral_em,23,0.4482050664497487,0.03195962316840244,0.2956422665539645
t03_second_chance,t06_behavioral_er,23,0.45902205738321095,0.02757759999777225,0.35229890979365036
t08_behavioral_em,t09_behavioral_pi,23,0.5024037478919964,0.01456170486229155,0.40920424923689
t02_declared_probe,t10_dpp_sequence,22,0.5213216813364058,0.012843244648212617,0.3470724000753064
t01_delegate_game,t10_dpp_sequence,22,0.5329189249201202,0.010658949304153292,0.3834431758052003
t02_declared_probe,t07_behavioral_ci,21,0.5347629458980947,0.012501069179772614,0.38277950117547643
t02_declared_probe,t11_mc_binary_pairs,23,0.5460835353268341,0.0070242161672055695,0.36435715000001406
t06_behavioral_er,t07_behavioral_ci,21,0.5660278690782553,0.007479279307019802,0.38445667434038067
t04_confidence_entropy,t09_behavioral_pi,23,0.572700576888997,0.004288961419776276,0.4342767347701834
t05_teammate_delegate,t09_behavioral_pi,23,0.5840754588133897,0.0034298759165931813,0.4342767347701834
t04_confidence_entropy,t07_behavioral_ci,21,0.6029890811584835,0.003810318608203323,0.430626938822411
t03_second_chance,t05_teammate_delegate,23,0.6063751111728737,0.0021601328098384714,0.4514860336956696
t06_behavioral_er,t08_behavioral_em,23,0.6111991357911989,0.001945810737067306,0.4962916669854652
t04_confidence_entropy,t06_behavioral_er,23,0.6163480875629898,0.0017372468166996149,0.46071983263709204
t09_behavioral_pi,t11_mc_binary_pairs,23,0.6188475609198646,0.0016430629413399388,0.43912962936819494
t04_confidence_entropy,t08_behavioral_em,23,0.6273838199728625,0.0013534310150011741,0.436844543117052
t04_confidence_entropy,t11_mc_binary_pairs,23,0.6449221842547678,0.0008923276865295374,0.4673276489130615
t06_behavioral_er,t11_mc_binary_pairs,23,0.6473005852492683,0.0008416520641686377,0.4859295307498625
t02_declared_probe,t09_behavioral_pi,23,0.6879330763839332,0.00028566966485720635,0.4980237784061736
t02_declared_probe,t04_confidence_entropy,23,0.6907114624505929,0.0002636929969771566,0.525691699604743
t02_declared_probe,t06_behavioral_er,23,0.7847139229246767,9.288777755226978e-06,0.6062103061014369
t08_behavioral_em,t11_mc_binary_pairs,23,0.7884263993473762,7.876272793312012e-06,0.6278270957414611
t06_behavioral_er,t09_behavioral_pi,23,0.8473851446464725,3.365539608401748e-07,0.6803135399668444
