question_id,choice,answer,confidence,correct,difficulty,score,raw_response
gpqa_000,ANSWER,B,3,C,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}
"
gpqa_002,ANSWER,A,3,B,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}
"
gpqa_007,ANSWER,B,3,B,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}
"
gpqa_009,ANSWER,B,4,B,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
"
gpqa_010,ANSWER,D,4,C,0.8571,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}
"
gpqa_012,DELEGATE,,2,A,0.6667,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}
"
gpqa_013,ANSWER,B,4,B,0.6667,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
"
gpqa_018,ANSWER,B,3,A,0.875,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}
"
gpqa_019,ANSWER,D,4,D,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}
"
gpqa_022,ANSWER,D,3,B,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}
"
gpqa_023,ANSWER,B,3,B,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}
"
gpqa_025,ANSWER,C,3,B,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}
"
gpqa_026,ANSWER,A,3,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}
"
gpqa_028,ANSWER,A,4,A,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
"
gpqa_035,ANSWER,C,4,C,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
"
gpqa_040,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}
"
