question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_002,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_007,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 10, ""B"": 80, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_009,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_010,0.0,0.8571,0.8571,True,0.3143,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_012,0.2345,0.6667,0.4322,True,0.6542,"```json
{""A"": 90, ""B"": 0, ""C"": 10, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_013,0.4238,0.6667,0.2429,False,0.6057,"```json
{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_018,0.0,0.875,0.875,True,0.3,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_019,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
gpqa_022,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_023,0.0,0.8889,0.8889,False,0.0889,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
gpqa_025,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_026,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_028,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_035,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_040,0.0,0.875,0.875,True,0.3,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_042,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_046,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_049,0.0,0.875,0.875,True,0.3,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_052,0.0,0.875,0.875,True,0.3,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_053,0.0,0.875,0.875,False,0.1,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_054,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_055,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_057,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_059,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_061,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_064,0.0,0.75,0.75,True,0.4,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_065,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
gpqa_069,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
