question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_002,0.7977,0.7778,0.0199,False,0.7841,"{""A"": 10, ""B"": 15, ""C"": 60, ""D"": 15, ""most_likely"": ""C""}"
gpqa_007,0.511,0.7778,0.2668,False,0.5865,"{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_009,0.8714,0.8889,0.0175,False,0.786,"{""A"": 10, ""B"": 15, ""C"": 50, ""D"": 25, ""most_likely"": ""C""}"
gpqa_010,0.9519,0.8571,0.0948,True,0.9242,"{""A"": 20, ""B"": 25, ""C"": 40, ""D"": 15, ""most_likely"": ""C""}"
gpqa_012,0.7855,0.6667,0.1188,True,0.905,"{""A"": 60, ""B"": 10, ""C"": 20, ""D"": 10, ""most_likely"": ""A""}"
gpqa_013,0.6784,0.6667,0.0117,True,0.9906,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_018,0.6595,0.875,0.2155,False,0.6276,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_019,0.7394,0.7778,0.0384,True,0.9693,"{""A"": 10, ""B"": 15, ""C"": 10, ""D"": 65, ""most_likely"": ""D""}"
gpqa_022,0.7083,0.8889,0.1806,True,0.8555,"{""A"": 10, ""B"": 65, ""C"": 20, ""D"": 5, ""most_likely"": ""B""}"
gpqa_023,0.7855,0.8889,0.1034,True,0.9173,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_025,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_026,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 10, ""B"": 15, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}"
gpqa_028,0.7855,0.7778,0.0077,False,0.7939,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_035,0.511,0.8889,0.3779,False,0.4977,"{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_040,0.7855,0.875,0.0895,True,0.9284,"{""A"": 60, ""B"": 20, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}"
gpqa_042,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 10, ""B"": 15, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}"
