question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.511,0.7778,0.2668,True,0.7865,"{""A"": 5, ""B"": 10, ""C"": 80, ""D"": 5, ""most_likely"": ""C""}"
gpqa_002,0.6784,0.7778,0.0994,True,0.9205,"{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}"
gpqa_007,0.6284,0.7778,0.1494,False,0.6805,"{""A"": 70, ""B"": 20, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_009,0.511,0.8889,0.3779,True,0.6977,"{""A"": 5, ""B"": 80, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}"
gpqa_010,0.7855,0.8571,0.0716,True,0.9427,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
gpqa_012,0.7452,0.6667,0.0785,True,0.9372,"{""A"": 60, ""B"": 10, ""C"": 25, ""D"": 5, ""most_likely"": ""A""}"
gpqa_013,0.7206,0.6667,0.0539,True,0.9569,"{""A"": 15, ""B"": 65, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_018,0.8805,0.875,0.0055,True,0.9956,"{""A"": 50, ""B"": 20, ""C"": 20, ""D"": 10, ""most_likely"": ""A""}"
gpqa_019,0.7394,0.7778,0.0384,True,0.9693,"{""A"": 10, ""B"": 15, ""C"": 10, ""D"": 65, ""most_likely"": ""D""}"
gpqa_022,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_023,0.7977,0.8889,0.0912,False,0.7271,"{""A"": 10, ""B"": 15, ""C"": 60, ""D"": 15, ""most_likely"": ""C""}"
gpqa_025,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}"
gpqa_026,0.511,0.8889,0.3779,True,0.6977,"{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
