question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,A,True,True,False,0.0,"{""answer"":""C"",""confidence"":2}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":4}"
gpqa_002,D,A,True,False,False,0.1,"{""answer"":""D"",""confidence"":0.84}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_007,D,A,True,False,False,0.1,"{""answer"":""D"",""confidence"":2}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":3}"
gpqa_009,C,A,True,False,False,0.1,"{""answer"":""C"",""confidence"":2}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_010,C,B,True,True,False,0.0,"{""answer"":""C"",""confidence"":2}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":2}"
gpqa_012,A,C,True,True,False,0.0,"{""answer"":""A"",""confidence"":0.25}","{""keep_answer"":false,""revised_answer"":""C"",""revised_confidence"":2}"
gpqa_013,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":2}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_018,A,B,True,True,False,0.0,"{""answer"":""A"",""confidence"":0.62}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":1}"
gpqa_019,D,A,True,True,False,0.0,"{""answer"":""D"",""confidence"":0.74}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":3}"
gpqa_022,D,A,True,False,False,0.1,"{""answer"":""D"",""confidence"":0.72}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_023,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":1}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_025,D,A,True,False,False,0.1,"{""answer"":""D"",""confidence"":0.33}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_026,C,A,True,False,True,1.0,"{""answer"":""C"",""confidence"":0.4}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":3}"
gpqa_028,D,B,True,False,False,0.1,"{""answer"":""D"",""confidence"":2}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":2}"
gpqa_035,D,C,True,False,True,1.0,"{""answer"":""D"",""confidence"":0.35}","{""keep_answer"":false,""revised_answer"":""C"",""revised_confidence"":2}"
gpqa_040,B,A,True,False,True,1.0,"{""answer"":""B"",""confidence"":0.45}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":1}"
gpqa_042,B,A,True,False,True,1.0,"{""answer"":""B"",""confidence"":0.6}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":1}"
gpqa_046,B,A,True,False,True,1.0,"{""answer"":""B"",""confidence"":0.58}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_049,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.55}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_052,C,A,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.36}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":0.35}"
gpqa_053,D,C,True,False,True,1.0,"{""answer"":""D"",""confidence"":0.4}","{""keep_answer"":false,""revised_answer"":""C"",""revised_confidence"":2}"
gpqa_054,D,C,True,False,False,0.1,"{""answer"":""D"",""confidence"":0.42}","{""keep_answer"":false,""revised_answer"":""C"",""revised_confidence"":1}"
gpqa_055,B,A,True,True,False,0.0,"{""answer"":""B"",""confidence"":0.6}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_057,D,A,True,False,False,0.1,"{""answer"":""D"",""confidence"":0.2}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_059,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.55}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_061,C,A,True,False,True,1.0,"{""answer"":""C"",""confidence"":0.46}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":2}"
gpqa_064,C,D,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.3}","{""keep_answer"":false,""revised_answer"":""D"",""revised_confidence"":2}"
gpqa_065,B,A,True,False,False,0.1,"{""answer"":""B"",""confidence"":0.74}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":1}"
gpqa_069,C,A,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.25}","{""keep_answer"":false,""revised_answer"":""A"",""revised_confidence"":1}"
gpqa_073,C,D,True,True,False,0.0,"{""answer"":""C"",""confidence"":0.7}","{""keep_answer"":false,""revised_answer"":""D"",""revised_confidence"":1}"
