question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_002,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_007,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_009,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_010,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_013,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_018,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_022,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_023,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_028,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_035,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_042,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_049,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_052,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_055,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_057,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_059,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_061,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_064,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_065,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_069,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_073,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_074,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_075,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_076,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_078,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 5}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_080,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_082,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_083,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_084,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_087,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 5}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_088,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_090,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_094,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 5}","{""answer"": ""C"", ""confidence"": 5}"
