perturbation,hard_del_reward,easy_del_penalty,conf_bonus_weight,n_models,kendall_tau_vs_baseline,spearman_rho_vs_baseline
baseline,0.85,0.1,0.1,23,1.0,1.0
deleg_hard_0.70,0.7,0.1,0.1,23,0.9604743083003953,0.9920948616600791
deleg_hard_0.80,0.8,0.1,0.1,23,0.9683794466403163,0.9950592885375494
deleg_hard_0.90,0.9,0.1,0.1,23,1.0,1.0
deleg_hard_1.00,1.0,0.1,0.1,23,0.9841897233201582,0.9980237154150198
deleg_easy_0.05,0.85,0.05,0.1,23,1.0,1.0
deleg_easy_0.10,0.85,0.1,0.1,23,1.0,1.0
deleg_easy_0.20,0.85,0.2,0.1,23,1.0,1.0
deleg_easy_0.30,0.85,0.3,0.1,23,1.0,1.0
conf_narrow,0.85,0.1,0.2,23,0.9604743083003953,0.9950592885375494
conf_flat,0.85,0.1,0.0,23,0.9960395884000188,0.9995058067402659
combo_high_deleg_narrow_conf,0.95,0.05,0.2,23,0.9841897233201582,0.9980237154150198
