question_id,is_signal,said_yes,confidence,judgment_correct,raw_response
gpqa_000,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_000,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_002,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_002,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_007,True,False,4,False,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_007,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_009,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_009,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_010,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_010,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_012,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_012,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_013,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_013,False,True,4,False,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_018,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_018,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_019,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_019,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_022,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_022,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_023,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_023,False,True,4,False,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_025,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_025,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_026,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_026,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_028,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_028,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_035,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_035,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_040,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_040,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_042,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_042,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_046,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_046,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_049,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_049,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_052,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_052,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_053,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_053,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_054,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_054,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_055,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_055,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_057,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_057,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_059,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_059,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_061,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_061,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
gpqa_064,True,True,4,True,"```json
{""judgment"": ""yes"", ""confidence"": 5}
```"
gpqa_064,False,False,4,True,"```json
{""judgment"": ""no"", ""confidence"": 5}
```"
