question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.883,0.7778,0.1052,False,0.7159,"{""A"": 40, ""B"": 30, ""C"": 25, ""D"": 5, ""most_likely"": ""A""}"
gpqa_002,0.511,0.7778,0.2668,False,0.5865,"{""A"": 5, ""B"": 5, ""C"": 80, ""D"": 10, ""most_likely"": ""C""}"
gpqa_007,0.5959,0.7778,0.1819,False,0.6545,"{""A"": 5, ""B"": 10, ""C"": 10, ""D"": 75, ""most_likely"": ""D""}"
gpqa_009,0.511,0.8889,0.3779,True,0.6977,"{""A"": 10, ""B"": 80, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_010,0.9417,0.8571,0.0846,True,0.9323,"{""A"": 25, ""B"": 30, ""C"": 35, ""D"": 10, ""most_likely"": ""C""}"
gpqa_012,0.7666,0.6667,0.0999,True,0.9201,"{""A"": 60, ""B"": 15, ""C"": 20, ""D"": 5, ""most_likely"": ""A""}"
gpqa_013,0.577,0.6667,0.0897,True,0.9282,"{""A"": 15, ""B"": 75, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_018,0.7183,0.875,0.1567,True,0.8747,"{""A"": 55, ""B"": 35, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_019,0.8407,0.7778,0.0629,True,0.9496,"{""A"": 15, ""B"": 10, ""C"": 20, ""D"": 55, ""most_likely"": ""D""}"
gpqa_022,0.511,0.8889,0.3779,True,0.6977,"{""A"": 10, ""B"": 80, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_023,0.7083,0.8889,0.1806,False,0.6555,"{""A"": 10, ""B"": 20, ""C"": 5, ""D"": 65, ""most_likely"": ""D""}"
gpqa_025,0.7083,0.8889,0.1806,False,0.6555,"{""A"": 20, ""B"": 10, ""C"": 65, ""D"": 5, ""most_likely"": ""C""}"
gpqa_026,0.511,0.8889,0.3779,True,0.6977,"{""A"": 80, ""B"": 5, ""C"": 5, ""D"": 10, ""most_likely"": ""A""}"
gpqa_028,0.511,0.7778,0.2668,False,0.5865,"{""A"": 5, ""B"": 80, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}"
gpqa_035,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 60, ""B"": 20, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}"
gpqa_040,0.6595,0.875,0.2155,False,0.6276,"{""A"": 15, ""B"": 70, ""C"": 5, ""D"": 10, ""most_likely"": ""B""}"
gpqa_042,0.7394,0.8889,0.1495,True,0.8804,"{""A"": 65, ""B"": 10, ""C"": 15, ""D"": 10, ""most_likely"": ""A""}"
gpqa_046,0.4238,0.8889,0.4651,True,0.6279,"{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_049,0.8005,0.875,0.0745,True,0.9404,"{""A"": 25, ""B"": 15, ""C"": 55, ""D"": 5, ""most_likely"": ""C""}"
gpqa_052,0.8239,0.875,0.0511,False,0.7591,"{""A"": 50, ""B"": 15, ""C"": 30, ""D"": 5, ""most_likely"": ""A""}"
gpqa_053,0.511,0.875,0.364,True,0.7088,"{""A"": 10, ""B"": 5, ""C"": 80, ""D"": 5, ""most_likely"": ""C""}"
gpqa_054,0.511,0.7778,0.2668,True,0.7865,"{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_055,0.6977,0.8889,0.1912,False,0.6471,"{""A"": 60, ""B"": 30, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_057,0.5959,0.8889,0.293,True,0.7656,"{""A"": 10, ""B"": 10, ""C"": 75, ""D"": 5, ""most_likely"": ""C""}"
gpqa_059,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}"
gpqa_061,0.577,0.7778,0.2008,False,0.6394,"{""A"": 15, ""B"": 75, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_064,0.8697,0.75,0.1197,False,0.7043,"{""A"": 35, ""B"": 20, ""C"": 40, ""D"": 5, ""most_likely"": ""C""}"
gpqa_065,0.7394,0.7778,0.0384,True,0.9693,"{""A"": 10, ""B"": 15, ""C"": 10, ""D"": 65, ""most_likely"": ""D""}"
gpqa_069,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_073,0.5959,0.8889,0.293,True,0.7656,"{""A"": 5, ""B"": 10, ""C"": 75, ""D"": 10, ""most_likely"": ""C""}"
gpqa_074,0.6284,0.4444,0.184,True,0.8528,"{""A"": 70, ""B"": 20, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_075,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}"
gpqa_076,0.7666,0.8889,0.1223,False,0.7022,"{""A"": 20, ""B"": 15, ""C"": 60, ""D"": 5, ""most_likely"": ""C""}"
gpqa_078,0.8427,0.8889,0.0462,True,0.9631,"{""A"": 30, ""B"": 10, ""C"": 10, ""D"": 50, ""most_likely"": ""D""}"
gpqa_080,0.6595,0.7778,0.1183,True,0.9054,"{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}"
gpqa_082,0.511,0.875,0.364,False,0.5088,"{""A"": 10, ""B"": 5, ""C"": 80, ""D"": 5, ""most_likely"": ""C""}"
gpqa_083,0.6681,0.8571,0.189,True,0.8488,"{""A"": 25, ""B"": 65, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_084,0.7083,0.8889,0.1806,False,0.6555,"{""A"": 10, ""B"": 20, ""C"": 65, ""D"": 5, ""most_likely"": ""C""}"
gpqa_087,0.511,0.625,0.114,True,0.9088,"{""A"": 10, ""B"": 80, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
