question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,C,1,4.0,0,0.7778
gpqa_002,D,0,4.0,0,0.7778
gpqa_007,B,1,2.0,0,0.7778
gpqa_009,B,1,3.0,0,0.8889
gpqa_010,,0,,1,0.8571
gpqa_012,,0,,1,0.6667
gpqa_013,B,1,2.0,0,0.6667
gpqa_018,,0,,1,0.875
gpqa_019,D,1,3.0,0,0.7778
gpqa_022,B,1,2.0,0,0.8889
gpqa_023,,0,,1,0.8889
gpqa_025,D,0,2.0,0,0.8889
gpqa_026,D,0,2.0,0,0.8889
gpqa_028,A,1,3.0,0,0.7778
gpqa_035,C,1,3.0,0,0.8889
gpqa_040,A,1,4.0,0,0.875
gpqa_042,A,1,4.0,0,0.8889
gpqa_046,A,1,4.0,0,0.8889
gpqa_049,C,1,3.0,0,0.875
