question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 5}"
gpqa_002,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 5}"
gpqa_007,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 5}"
gpqa_009,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 5}"
gpqa_010,ANSWER,ANSWER,0.8571,0.3,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 5}"
gpqa_012,DELEGATE,DELEGATE,0.6667,0.6,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,ANSWER,ANSWER,0.6667,0.3,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 5}"
gpqa_018,DELEGATE,DELEGATE,0.875,0.6,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 5}"
gpqa_022,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 5}"
gpqa_023,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 5}"
gpqa_025,DELEGATE,DELEGATE,0.8889,0.6,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
