question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"{""answer"":""C"",""confidence"":""5""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_002,B,B,False,True,True,1.0,"{""answer"":""B"",""confidence"":""5""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_007,A,B,True,False,True,1.0,"{""answer"":""A"",""confidence"":""4""}","{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 4}"
gpqa_009,B,B,False,True,True,1.0,"{""answer"":""B"",""confidence"":""5""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_010,A,A,False,False,False,0.0,"{""answer"":""A"",""confidence"":""5""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_012,A,A,False,True,True,1.0,"{""answer"":""A"",""confidence"":""3""}","{""answer"":""A"",""confidence"":""4""}"
gpqa_013,B,B,False,True,True,1.0,"{""answer"":""B"",""confidence"":""6""}","{""answer"":""B"",""confidence"":""5""}"
gpqa_018,B,D,True,False,False,0.1,"{""answer"":""B"",""confidence"":""5""}","{""keep_answer"":false,""revised_answer"":""D"",""revised_confidence"":4}"
gpqa_019,D,D,False,True,True,1.0,"{""answer"":""D"",""confidence"":""5""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_022,D,D,False,False,False,0.0,"{""answer"":""D"",""confidence"":""6""}","{""answer"":""D"",""confidence"":""5""}"
gpqa_023,A,A,False,False,False,0.0,"{""answer"":""A"",""confidence"":""5""}","{""answer"":""B"",""confidence"":""5""}"
gpqa_025,B,B,False,True,True,1.0,"{""answer"":""B"",""confidence"":""5""}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":5}"
gpqa_026,A,A,False,True,True,1.0,"{""answer"":""A"",""confidence"":""4""}","{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_028,D,B,True,False,False,0.1,"{""answer"":""D"",""confidence"":""4""}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":5}"
gpqa_035,C,C,False,True,True,1.0,"{""answer"":""C"",""confidence"":""5""}","{""answer"":""C"",""confidence"":""5""}"
gpqa_040,A,A,False,True,True,1.0,"{""answer"":""A"",""confidence"":""5""}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_042,B,B,False,False,False,0.0,"{""answer"":""B"",""confidence"":""5""}","{""answer"":""B"",""confidence"":""5""}"
gpqa_046,A,A,False,True,True,1.0,"{""answer"":""A"",""confidence"":""5""}","{""answer"":""A"",""confidence"":""5""}"
gpqa_049,C,C,False,True,True,1.0,"{""answer"":""C"",""confidence"":""5""}","{""answer"":""C"",""confidence"":""5""}"
gpqa_052,A,B,True,False,True,1.0,"{""answer"":""A"",""confidence"":""5""}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":5}"
