question_id,detected,answered,score,raw_response
gpqa_000,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""C"", ""confidence"": 98}"
gpqa_002,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""A"", ""confidence"": 99}"
gpqa_007,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context is internally inconsistent with standard molecular genetics assumed by the question: in cells, proteins are not synthesized directly from DNA but via an RNA intermediate (transcription then translation). Also, the phenotypic data do not cleanly support any listed option: G2 appears essential for resistance because g2 and all double mutants containing g2 are 0%, but the claims about promoter sharing, pleiotropy,"
gpqa_009,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 94}"
gpqa_010,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""C"", ""confidence"": 61}"
gpqa_012,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context is chemically incorrect: electronegativity generally decreases, not increases, as you move down a group in the periodic table. The reaction sequence itself is otherwise answerable, but the instruction requires checking internal consistency including the provided context."", ""answer"": null, ""confidence"": 98}"
gpqa_013,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""A"", ""confidence"": 77}"
gpqa_018,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context is internally inconsistent with established coordination chemistry: octahedral d6 complexes do not always adopt high-spin configurations; they can be low-spin with sufficiently strong-field ligands. This conflicts with standard chemical principles, so the provided question-plus-context is not internally consistent."", ""answer"": null, ""confidence"": 97}"
gpqa_019,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context contradicts the second law of thermodynamics: in an isolated system, entropy does not spontaneously decrease without external work. While this context is unrelated to the nuclear-physics question itself, it makes the overall prompt internally inconsistent under the instruction to check the question and context together."", ""answer"": null, ""confidence"": 95}"
gpqa_022,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context is chemically false: noble gases do not readily form covalent bonds under standard conditions; only a few heavier noble gases form compounds under special conditions. This conflicts with standard chemistry, so the prompt is internally inconsistent."", ""answer"": null, ""confidence"": 98}"
gpqa_023,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The additional context is inconsistent with standard chemistry: noble gases do not readily form covalent bonds under standard conditions. This contradicts accepted chemical principles, so the question-plus-context is not internally consistent."", ""answer"": null, ""confidence"": 98}"
