question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"

{""answer"": ""C"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_002,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_007,A,B,True,False,True,1.0,"

{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}"
gpqa_009,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_010,C,C,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_012,,,False,,,0.0,,
gpqa_013,B,C,True,True,False,0.0,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_018,B,D,True,False,False,0.1,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 5}"
gpqa_019,D,D,False,True,True,1.0,"

{""answer"": ""D"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_022,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_023,B,B,False,True,True,1.0,"

{""answer"": ""B"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_025,C,C,False,False,False,0.1,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_026,,,False,,,0.0,,
gpqa_028,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_035,C,C,False,True,True,1.0,"

{""answer"": ""C"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_040,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_042,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_046,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_049,C,C,False,True,True,1.0,"

{""answer"": ""C"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_052,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}"
gpqa_053,C,B,True,True,False,0.0,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}"
gpqa_054,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_055,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}"
gpqa_057,D,D,False,False,False,0.0,"

{""answer"": ""D"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_059,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_061,,,False,,,0.0,,
gpqa_064,C,C,False,False,False,0.1,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_065,,,False,,,0.0,,
gpqa_069,D,D,False,True,True,1.0,"

{""answer"": ""D"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_073,C,C,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_074,,,False,,,0.0,,
gpqa_075,B,B,False,True,True,1.0,"

{""answer"": ""B"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_076,D,D,False,False,False,0.1,"

{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 5}"
gpqa_078,,,False,,,0.0,,
gpqa_080,A,A,False,False,False,0.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_082,B,B,False,True,True,1.0,"

{""answer"": ""B"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_083,B,B,False,True,True,1.0,"

{""answer"": ""B"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_084,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_087,B,B,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 5}"
gpqa_088,D,D,False,False,False,0.1,"

{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""D"", ""revised_confidence"": 5}"
gpqa_090,D,D,False,False,False,0.0,"

{""answer"": ""D"", ""confidence"": 5}","

{""answer"": ""D"", ""confidence"": 5}"
gpqa_094,,,False,,,0.0,,
gpqa_097,A,A,False,False,False,0.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_098,,,False,,,0.0,,
gpqa_099,C,C,False,True,True,1.0,"

{""answer"": ""C"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_100,A,A,False,True,True,1.0,"

{""answer"": ""A"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_101,C,C,False,True,True,0.65,"

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}","

{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}"
gpqa_102,D,D,False,False,False,0.0,"

{""answer"": ""D"", ""confidence"": 5}","

{""answer"": ""D"", ""confidence"": 5}"
gpqa_103,C,C,False,True,True,1.0,"

{""answer"": ""C"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
gpqa_104,B,B,False,True,True,1.0,"

{""answer"": ""B"", ""confidence"": 5}","

{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}"
