question_id,expert_answer,final_answer,final_confidence,changed,correct,score,raw_response_expert,raw_response_generalist
gpqa_000,C,C,4,False,True,0.85,"**C**

Here's the reasoning:

The ability to resolve two energy levels is fundamentally limited by the Heisenberg Uncertainty Principle, specifically the time-energy uncertainty relation: ΔE * Δt ≥ ħ/2, where:

*   ΔE is the uncertainty in energy.
*   Δt is the uncertainty in time (related to the lifetime of the state).
*   ħ is the reduced Planck constant (approximately 6.582 x 10^-16 eV·s).

For two energy levels to be ""clearly resolved,"" their energy difference (ΔE) must be *greater* than the","```json
{""answer"": ""C"", ""confidence"": 5}
```"
gpqa_002,A,A,4,False,False,0.0,"**A**

Here's the reasoning:

1.  **Define the State:** The given state is |ψ⟩ = 0.5|↑⟩ + (√3/2)|↓⟩, where |↑⟩ and |↓⟩ represent the spin-up and spin-down eigenstates of the Pauli-Z matrix (σz). This means σz|↑⟩ = |↑⟩ and σz|↓⟩ = -|↓⟩

2.  **Pauli Matrices:** Recall the Pauli matrices:

    *   σz =  [[1, 0], [0, -1]]
    *   σx =  [[0, 1], [1, 0]]

3.  **Calculate σz Action on the State:**  Since we are given the state in terms of its spin-up and spin-down eigenstates of σz, we can apply σz dir","```json
{""answer"": ""A"", ""confidence"": 5}
```"
gpqa_007,B,B,4,False,True,0.85,"**B**

Here's the reasoning:

1.  **Analyze the Single Mutants:**

    *   **g1 (75% resistance):**  Shows reduced, but not completely abolished, resistance. This suggests that G1 contributes to resistance, but other factors (possibly G2 or G3) also play a role.
    *   **g2 (0% resistance):**  Shows complete loss of resistance. This is a strong indication that G2 is *essential* for resistance.
    *   **g3 (50% resistance):** Shows reduced resistance, similar to g1.  This indicates G3 also cont","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_009,C,B,4,True,True,1.0,"**C**

Here's the reasoning:

1.  **Density Definition:** Density (ρ) is defined as mass (M) divided by volume (V):  ρ = M/V.

2.  **Planet a): Earth-mass and Earth-radius.** This is essentially stating that this planet has the same density as Earth. We know from measurements that Earth's average density is about 5.5 g/cm³.

3.  **Planet b): 2 Earth masses, density of 5.5 g/cm³.** This means that this planet has approximately the same density as Earth.

4.  **Planet c): 5 Earth masses, same comp","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_010,D,D,4,False,False,0.0,"**D**

Here's the reasoning:

*   **A) SARS-CoV-2 ORF3a and Apoptosis (Correct):** ORF3a is known to induce apoptosis through the extrinsic pathway. The description accurately reflects this, pointing to caspase-8 activation (a hallmark of the extrinsic pathway) and noting the lack of effect on Bcl-2 (a key regulator of the intrinsic/mitochondrial pathway).

*   **B) Frameshifting and Pseudoknots (Correct):** The rate of -1 programmed ribosomal frameshifting (-1 PRF) is related to pseudoknot stru","```json
{""answer"": ""D"", ""confidence"": 5}
```"
gpqa_012,A,A,3,False,True,0.85,"**A**

Here's the reasoning, step-by-step:

1.  **(R)-(+)-Limonene + H2/Pd-C:** Limonene undergoes catalytic hydrogenation. The double bond is reduced. Since the reaction is catalytic and hydrogen is added, this is addition of hydrogen to the double bond to form a saturated cyclohexane ring.  (R)-(+)-Limonene is (R)-1-methyl-4-(1-methylethenyl)-cyclohexene. The selective hydrogenation of the double bond in the ring, leaves the isopropyl substituent and a methyl group. The major product (1) will ","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_013,B,B,4,False,True,0.85,"**B**

Here's the reasoning:

1.  **ChIP-seq Overview:** Chromatin Immunoprecipitation followed by sequencing (ChIP-seq) is a technique used to identify regions of the genome bound by a specific protein (in this case, IKAROS).

2.  **IKAROS Function:** IKAROS is a zinc-finger transcription factor. Transcription factors typically bind to DNA at promoters and enhancers to regulate gene expression.

3.  **Fixation Methods:**
    *   **PFA (Paraformaldehyde) fixation:** Forms crosslinks between prot","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_018,B,B,4,False,False,0.0,"**B**

Here's the reasoning, breaking down each reaction step-by-step:

**Reaction 1: methyl 2-oxocyclohexane-1-carboxylate + (NaOEt, THF, 2,4-dimethyl-1-(vinylsulfinyl)benzene) ---> A**

1.  **Identify Reactants:**
    *   The Michael acceptor is 2,4-dimethyl-1-(vinylsulfinyl)benzene.
    *   The Michael donor is methyl 2-oxocyclohexane-1-carboxylate. The enolate generated by the base (NaOEt) will act as the nucleophile.
    *   NaOEt (sodium ethoxide) is a strong base in THF (tetrahydrofuran, ","```json
{""answer"": ""B"", ""confidence"": 5}
```"
gpqa_019,D,D,4,False,True,0.85,"**D**

Here's the reasoning:

The ""impulse approximation"" in nuclear physics essentially treats the interaction of a probe (e.g., an electron) with a nucleus as if the probe interacts *only* with a single, free nucleon within the nucleus. The other nucleons and the nuclear environment are assumed to be passive.

Let's analyze each assumption:

1.  **The interaction current only interacts with individual nucleons.** This is a *fundamental* requirement. If the probe interacted with multiple nucleo","```json
{""answer"": ""D"", ""confidence"": 5}
```"
gpqa_022,A,A,4,False,False,0.0,"**A**

Here's the reasoning, step-by-step:

1.  **Identify the Reactants:** The reaction is of ((2,2-dimethylbut-3-en-1-yl)oxy)benzene (an ether with a terminal alkene) with hydrogen bromide (HBr).

2.  **Predict the Initial Reactions:**
    *   **HBr Addition to the Alkene:** The alkene will react with HBr through an electrophilic addition mechanism.  The Markovnikov rule would predict the bromine to add to the more substituted carbon, so the bromine would add to carbon #4.
    *   **Ether Clea","```json
{""answer"": ""A"", ""confidence"": 5}
```"
