question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_002,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}
","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_007,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_009,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_010,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_012,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_013,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_018,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_019,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_022,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_023,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_025,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_026,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_028,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_035,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_040,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_042,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_046,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_049,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_052,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_053,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_054,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_055,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_057,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_059,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_061,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_064,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_065,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_069,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_073,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_074,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_075,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_076,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_078,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_080,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_082,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_083,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_084,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_087,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_088,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_090,A,A,False,True,True,1.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_094,A,A,False,False,False,0.0,"{""answer"": ""A"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_097,B,B,False,True,True,1.0,"{""answer"": ""B"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
gpqa_098,B,B,False,False,False,0.0,"{""answer"": ""B"", ""confidence"": 3}","{""keep_answer"": true, ""revised_answer"": ""B"", ""revised_confidence"": 2}"
