question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,C,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
```"
gpqa_002,ANSWER,D,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}
```"
gpqa_007,ANSWER,B,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
```"
gpqa_009,ANSWER,C,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
```"
gpqa_010,DELEGATE,,0.9,"```json
{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}
```"
gpqa_012,ANSWER,A,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_013,ANSWER,A,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_018,DELEGATE,,0.9,"```json
{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}
```"
gpqa_019,ANSWER,D,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}
```"
gpqa_022,ANSWER,B,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
```"
gpqa_023,ANSWER,A,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_025,ANSWER,B,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
```"
gpqa_026,ANSWER,A,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_028,ANSWER,B,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
```"
gpqa_035,ANSWER,A,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_040,ANSWER,A,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_042,ANSWER,C,0.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
```"
gpqa_046,ANSWER,A,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}
```"
gpqa_049,ANSWER,C,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
```"
gpqa_052,ANSWER,B,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}
```"
gpqa_053,ANSWER,C,1.0,"```json
{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}
```"
