id,conf_familiar,conf_novel,differentiation,score,raw_response_familiar,raw_response_novel
em_pair_001,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.72}","{""answer"":""B"",""confidence"":0.84}"
em_pair_002,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.86}","{""answer"":""C"",""confidence"":0.88}"
em_pair_003,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.7}","{""answer"":""B"",""confidence"":0.66}"
em_pair_004,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.58}","{""answer"":""D"",""confidence"":0.41}"
em_pair_005,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.78}","{""answer"":""D"",""confidence"":0.95}"
em_pair_006,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.74}","{""answer"":""D"",""confidence"":0.55}"
em_pair_007,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.46}","{""answer"":""D"",""confidence"":0.67}"
em_pair_008,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.62}","{""answer"":""D"",""confidence"":0.7}"
em_pair_009,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.66}","{""answer"":""D"",""confidence"":0.77}"
em_pair_010,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.33}","{""answer"":""C"",""confidence"":0.38}"
em_pair_011,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.62}","{""answer"":""A"",""confidence"":0.6}"
em_pair_012,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.9}","{""answer"":""D"",""confidence"":0.86}"
em_pair_013,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.54}","{""answer"":""D"",""confidence"":0.64}"
em_pair_014,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.64}","{""answer"":""B"",""confidence"":0.82}"
em_pair_015,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.33}","{""answer"":""C"",""confidence"":0.3}"
em_pair_016,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.62}","{""answer"":""B"",""confidence"":0.42}"
em_pair_017,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.43}","{""answer"":""B"",""confidence"":0.55}"
em_pair_018,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.62}","{""answer"":""B"",""confidence"":0.38}"
em_pair_019,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.62}","{""answer"":""C"",""confidence"":0.36}"
em_pair_020,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.34}","{""answer"":""D"",""confidence"":0.39}"
em_pair_021,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.44}","{""answer"":""D"",""confidence"":0.46}"
em_pair_022,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.66}","{""answer"":""A"",""confidence"":0.42}"
em_pair_023,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.62}","{""answer"":""D"",""confidence"":0.38}"
em_pair_024,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.78}","{""answer"":""B"",""confidence"":0.41}"
em_pair_025,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.74}","{""answer"":""C"",""confidence"":0.45}"
em_pair_026,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.52}","{""answer"":""C"",""confidence"":0.46}"
em_pair_027,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.61}","{""answer"":""D"",""confidence"":0.52}"
em_pair_028,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.67}","{""answer"":""B"",""confidence"":0.34}"
em_pair_029,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.78}","{""answer"":""B"",""confidence"":0.58}"
em_pair_030,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.45}","{""answer"":""D"",""confidence"":0.34}"
em_pair_031,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.62}","{""answer"":""B"",""confidence"":0.74}"
em_pair_032,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.46}","{""answer"":""D"",""confidence"":0.63}"
em_pair_033,1,1,0.0,0.5,"{""answer"":""C"",""confidence"":0.58}","{""answer"":""C"",""confidence"":0.7}"
em_pair_034,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.62}","{""answer"":""D"",""confidence"":0.55}"
em_pair_035,1,1,0.0,0.5,"{""answer"":""A"",""confidence"":0.4}","{""answer"":""D"",""confidence"":0.68}"
em_pair_036,1,1,0.0,0.5,"{""answer"":""B"",""confidence"":0.63}","{""answer"":""C"",""confidence"":0.33}"
em_pair_037,1,1,0.0,0.5,"{""answer"":""D"",""confidence"":0.58}","{""answer"":""D"",""confidence"":0.64}"
