question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.6666666666666666,0.0,0.619,"{""answer"": ""C"", ""confidence"": 2}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_002,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{
  ""answer"": ""D"",
  ""confidence"": 5
}"
gpqa_007,B,B,0.3333333333333333,0.0,0.8095,"{
  ""answer"": ""B"",
  ""confidence"": 3
}","{
  ""answer"": ""B"",
  ""confidence"": 4
}"
gpqa_009,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_010,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_012,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_013,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_018,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_019,D,D,0.0,0.0,1.0,"{
  ""answer"": ""D"",
  ""confidence"": 4
}","{
  ""answer"": ""D"",
  ""confidence"": 5
}"
gpqa_022,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_023,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_025,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_026,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_028,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 4
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_035,A,C,0.0,1.0,0.5714,"{
  ""answer"": ""A"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_040,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_042,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_046,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_049,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_052,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_053,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_054,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_055,A,B,0.0,1.0,0.5714,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_057,C,C,0.0,0.0,1.0,"{
  ""answer"": ""C"",
  ""confidence"": 4
}","{
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_059,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_061,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 4
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_064,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_065,D,D,0.0,0.0,1.0,"{
  ""answer"": ""D"",
  ""confidence"": 4
}","{
  ""answer"": ""D"",
  ""confidence"": 5
}"
gpqa_069,B,B,0.0,0.0,1.0,"{
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_073,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_074,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 4
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_075,D,D,0.0,0.0,1.0,"{
  ""answer"": ""D"",
  ""confidence"": 4
}","{
  ""answer"": ""D"",
  ""confidence"": 5
}"
gpqa_076,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 5
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
gpqa_078,D,D,0.0,0.0,1.0,"{
  ""answer"": ""D"",
  ""confidence"": 4
}","{
  ""answer"": ""D"",
  ""confidence"": 5
}"
gpqa_080,A,A,0.0,0.0,1.0,"{
  ""answer"": ""A"",
  ""confidence"": 4
}","{
  ""answer"": ""A"",
  ""confidence"": 5
}"
