question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"{""A"":70,""B"":15,""C"":10,""D"":5,""most_likely"":""A""}"
gpqa_002,0.7855,0.7778,0.0077,False,0.7939,"{""A"":10,""B"":20,""C"":60,""D"":10,""most_likely"":""C""}"
gpqa_007,0.9631,0.7778,0.1853,True,0.8518,"{""A"":20,""B"":35,""C"":15,""D"":30,""most_likely"":""B""}"
gpqa_009,0.9232,0.8889,0.0343,True,0.9725,"{""A"":20,""B"":40,""C"":10,""D"":30,""most_likely"":""B""}"
gpqa_010,0.793,0.8571,0.0641,False,0.7487,"{""A"":8,""B"":25,""C"":10,""D"":57,""most_likely"":""D""}"
gpqa_012,0.6595,0.6667,0.0072,False,0.7943,"{""A"":5,""B"":15,""C"":10,""D"":70,""most_likely"":""D""}"
gpqa_013,0.511,0.6667,0.1557,True,0.8754,"{""A"":5,""B"":80,""C"":10,""D"":5,""most_likely"":""B""}"
gpqa_018,0.9305,0.875,0.0555,True,0.9556,"{""A"":40,""B"":25,""C"":10,""D"":25,""most_likely"":""A""}"
gpqa_019,0.6595,0.7778,0.1183,False,0.7054,"{""A"":10,""B"":5,""C"":70,""D"":15,""most_likely"":""C""}"
gpqa_022,0.6595,0.8889,0.2294,False,0.6165,"{""A"":15,""B"":5,""C"":10,""D"":70,""most_likely"":""D""}"
gpqa_023,0.6595,0.8889,0.2294,True,0.8165,"{""A"":5,""B"":70,""C"":10,""D"":15,""most_likely"":""B""}"
gpqa_025,0.9305,0.8889,0.0416,False,0.7667,"{""A"":10,""B"":25,""C"":40,""D"":25,""most_likely"":""C""}"
gpqa_026,0.6595,0.8889,0.2294,False,0.6165,"{""A"":10,""B"":5,""C"":70,""D"":15,""most_likely"":""C""}"
gpqa_028,0.7666,0.7778,0.0112,False,0.791,"{""A"":5,""B"":60,""C"":20,""D"":15,""most_likely"":""B""}"
gpqa_035,0.511,0.8889,0.3779,False,0.4977,"{""A"":80,""B"":5,""C"":10,""D"":5,""most_likely"":""A""}"
gpqa_040,0.511,0.875,0.364,False,0.5088,"{""A"":10,""B"":80,""C"":5,""D"":5,""most_likely"":""B""}"
gpqa_042,0.9519,0.8889,0.063,False,0.7496,"{""A"":25,""B"":20,""C"":40,""D"":15,""most_likely"":""C""}"
gpqa_046,0.5959,0.8889,0.293,False,0.5656,"{""A"":10,""B"":75,""C"":10,""D"":5,""most_likely"":""B""}"
gpqa_049,0.4238,0.875,0.4512,False,0.439,"{""A"":5,""B"":85,""C"":5,""D"":5,""most_likely"":""B""}"
gpqa_052,0.9519,0.875,0.0769,True,0.9385,"{""A"":25,""B"":40,""C"":20,""D"":15,""most_likely"":""B""}"
gpqa_053,0.5959,0.875,0.2791,True,0.7767,"{""A"":5,""B"":10,""C"":75,""D"":10,""most_likely"":""C""}"
gpqa_054,0.6595,0.7778,0.1183,False,0.7054,"{""A"":5,""B"":70,""C"":10,""D"":15,""most_likely"":""B""}"
gpqa_055,0.6595,0.8889,0.2294,True,0.8165,"{""A"":10,""B"":70,""C"":5,""D"":15,""most_likely"":""B""}"
gpqa_057,0.511,0.8889,0.3779,False,0.4977,"{""A"":5,""B"":5,""C"":10,""D"":80,""most_likely"":""D""}"
gpqa_059,0.577,0.8889,0.3119,False,0.5505,"{""A"":5,""B"":75,""C"":15,""D"":5,""most_likely"":""B""}"
gpqa_061,0.6595,0.7778,0.1183,False,0.7054,"{""A"":15,""B"":70,""C"":10,""D"":5,""most_likely"":""B""}"
gpqa_064,0.8564,0.75,0.1064,False,0.7148,"{""A"":10,""B"":35,""C"":45,""D"":10,""most_likely"":""C""}"
gpqa_065,0.577,0.7778,0.2008,False,0.6394,"{""A"":5,""B"":5,""C"":75,""D"":15,""most_likely"":""C""}"
gpqa_069,0.9703,0.8889,0.0814,False,0.7349,"{""A"":25,""B"":35,""C"":25,""D"":15,""most_likely"":""B""}"
gpqa_073,0.9075,0.8889,0.0186,False,0.7851,"{""A"":45,""B"":25,""C"":10,""D"":20,""most_likely"":""A""}"
