question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":4}","{""answer"":""C"",""confidence"":5}"
gpqa_002,B,A,0.6666666666666666,1.0,0.1905,"{""answer"":""B"",""confidence"":2}","{""answer"":""A"",""confidence"":4}"
gpqa_007,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":4}","{""answer"":""B"",""confidence"":4}"
gpqa_009,C,B,0.3333333333333333,1.0,0.381,"{""answer"":""C"",""confidence"":3}","{""answer"":""B"",""confidence"":2}"
gpqa_010,A,C,0.0,1.0,0.5714,"{""answer"":""A"",""confidence"":2}","{""answer"":""C"",""confidence"":2}"
gpqa_012,C,A,0.3333333333333333,1.0,0.381,"{""answer"":""C"",""confidence"":2}","{""answer"":""A"",""confidence"":1}"
gpqa_013,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":4}","{""answer"":""B"",""confidence"":4}"
gpqa_018,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":2}","{""answer"":""D"",""confidence"":2}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":4}","{""answer"":""D"",""confidence"":4}"
gpqa_022,D,D,0.3333333333333333,0.0,0.8095,"{""answer"":""D"",""confidence"":2}","{""answer"":""D"",""confidence"":3}"
gpqa_023,D,B,0.0,1.0,0.5714,"{""answer"":""D"",""confidence"":2}","{""answer"":""B"",""confidence"":2}"
gpqa_025,C,D,0.0,1.0,0.5714,"{""answer"":""C"",""confidence"":2}","{""answer"":""D"",""confidence"":2}"
gpqa_026,C,C,0.3333333333333333,0.0,0.8095,"{""answer"":""C"",""confidence"":2}","{""answer"":""C"",""confidence"":3}"
gpqa_028,D,B,0.0,1.0,0.5714,"{""answer"":""D"",""confidence"":3}","{""answer"":""B"",""confidence"":3}"
gpqa_035,D,C,0.0,1.0,0.5714,"{""answer"":""D"",""confidence"":2}","{""answer"":""C"",""confidence"":2}"
gpqa_040,D,A,0.3333333333333333,1.0,0.381,"{""answer"":""D"",""confidence"":2}","{""answer"":""A"",""confidence"":3}"
gpqa_042,B,C,0.0,1.0,0.5714,"{""answer"":""B"",""confidence"":2}","{""answer"":""C"",""confidence"":2}"
gpqa_046,B,B,0.3333333333333333,0.0,0.8095,"{""answer"":""B"",""confidence"":1}","{""answer"":""B"",""confidence"":2}"
gpqa_049,B,B,0.0,0.0,1.0,"{""answer"":""B"",""confidence"":2}","{""answer"":""B"",""confidence"":2}"
gpqa_052,D,D,0.0,0.0,1.0,"{""answer"":""D"",""confidence"":2}","{""answer"":""D"",""confidence"":2}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"":""C"",""confidence"":4}","{""answer"":""C"",""confidence"":4}"
