model,n_matched,observed_lift,observed_sd,observed_se,mde_two_sided_05,mde_two_sided_10,mde_one_sided_05,observed_below_mde_05_twosided
gemma2_2b,80,0.1125,0.503,0.0562,0.1102,0.0925,0.0925,0
gemma2_9b,78,0.0,0.5811,0.0658,0.129,0.1082,0.1082,1
llama3.1_8b,74,0.1216,0.5723,0.0665,0.1304,0.1094,0.1094,1
llama3.2_1b,64,0.0156,0.5489,0.0686,0.1345,0.1129,0.1129,1
llama3.2_3b,73,-0.0274,0.6661,0.078,0.1528,0.1282,0.1282,1
mistral_7b,77,-0.0779,0.6019,0.0686,0.1344,0.1128,0.1128,1
phi4-mini_latest,48,0.125,0.6724,0.0971,0.1902,0.1596,0.1596,1
qwen2.5_3b,77,-0.0649,0.5216,0.0594,0.1165,0.0978,0.0978,1
qwen2.5_7b,77,-0.013,0.6785,0.0773,0.1515,0.1272,0.1272,1
COHORT_POOLED,648,0.017,0.5947,0.0234,0.0458,0.0384,0.0384,1
