question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_002,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_007,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 10, ""B"": 80, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_009,0.1675,0.8889,0.7214,True,0.4229,"```json
{""A"": 0, ""B"": 95, ""C"": 3, ""D"": 2, ""most_likely"": ""B""}
```"
gpqa_010,0.0,0.8571,0.8571,True,0.3143,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_012,0.1432,0.6667,0.5235,True,0.5812,"```json
{""A"": 95, ""B"": 0, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_013,0.511,0.6667,0.1557,False,0.6754,"```json
{""A"": 5, ""B"": 10, ""C"": 80, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_018,0.0,0.875,0.875,False,0.1,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_019,0.0,0.7778,0.7778,True,0.3778,"```json
{""A"": 0, ""B"": 0, ""C"": 0, ""D"": 100, ""most_likely"": ""D""}
```"
gpqa_022,0.2845,0.8889,0.6044,True,0.5165,"```json
{""A"": 5, ""B"": 90, ""C"": 5, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_023,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_025,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 100, ""C"": 0, ""D"": 0, ""most_likely"": ""B""}
```"
gpqa_026,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_028,0.1812,0.7778,0.5966,True,0.5228,"```json
{""A"": 95, ""B"": 2, ""C"": 2, ""D"": 1, ""most_likely"": ""A""}
```"
gpqa_035,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 0, ""B"": 0, ""C"": 100, ""D"": 0, ""most_likely"": ""C""}
```"
gpqa_040,0.0,0.875,0.875,True,0.3,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_042,0.1432,0.8889,0.7457,True,0.4034,"```json
{""A"": 95, ""B"": 5, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_046,0.0,0.8889,0.8889,True,0.2889,"```json
{""A"": 100, ""B"": 0, ""C"": 0, ""D"": 0, ""most_likely"": ""A""}
```"
