question_id,category,difficulty,dims_parsed,routing_choice,raw_response,declared_CE,declared_ER,declared_CI,declared_EM,declared_PI,declared_activation,routing_score
gpqa_000,physics_(general),0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,3,2,0.4,0.7
gpqa_002,quantum_mechanics,0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,4,2,0.3333,0.7
gpqa_007,genetics,0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_009,astrophysics,0.8889,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,3,2,0.4,0.7
gpqa_010,molecular_biology,0.8571,5,DELEGATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 2, ""PI"": 3, ""routing"": ""DELEGATE""}",2,1,3,2,3,0.5333,1.0
gpqa_012,organic_chemistry,0.6667,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,3,2,0.4,0.7
gpqa_013,molecular_biology,0.6667,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 2, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,2,2,0.4667,0.7
gpqa_018,organic_chemistry,0.875,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,3,2,0.4,0.7
gpqa_019,quantum_mechanics,0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,3,2,0.4,0.7
gpqa_022,organic_chemistry,0.8889,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_023,organic_chemistry,0.8889,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 2, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,2,2,0.4667,0.7
gpqa_025,organic_chemistry,0.8889,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 2, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,2,2,0.4667,0.7
gpqa_026,molecular_biology,0.8889,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_028,genetics,0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_035,astrophysics,0.8889,5,DELIBERATE,"{""CE"": 2, ""ER"": 1, ""CI"": 3, ""EM"": 2, ""PI"": 2, ""routing"": ""DELIBERATE""}",2,1,3,2,2,0.4667,0.7
gpqa_040,relativistic_mechanics,0.875,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,3,2,0.4,0.7
gpqa_042,organic_chemistry,0.8889,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_046,organic_chemistry,0.8889,5,ANSWER,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 4, ""PI"": 2, ""routing"": ""ANSWER""}",3,1,4,4,2,0.3333,0.0
gpqa_049,high-energy_particle_physics,0.875,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,4,3,2,0.4,0.7
gpqa_052,chemistry_(general),0.875,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_053,organic_chemistry,0.875,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_054,chemistry_(general),0.7778,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_055,quantum_mechanics,0.8889,5,DELIBERATE,"{""CE"": 3, ""ER"": 1, ""CI"": 3, ""EM"": 3, ""PI"": 2, ""routing"": ""DELIBERATE""}",3,1,3,3,2,0.3333,0.7
gpqa_057,high-energy_particle_physics,0.8889,5,ANSWER,"{""CE"": 3, ""ER"": 1, ""CI"": 4, ""EM"": 3, ""PI"": 2, ""routing"": ""ANSWER""}",3,1,4,3,2,0.4,0.0
