question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_002,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_007,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_009,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 3}
```","```json
{""answer"": ""B"", ""confidence"": 3}
```"
gpqa_010,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_012,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_013,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 3}
```","```json
{""answer"": ""B"", ""confidence"": 3}
```"
gpqa_018,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_019,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 3}
```","```json
{""answer"": ""D"", ""confidence"": 3}
```"
gpqa_022,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_023,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_025,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 3}
```","```json
{""answer"": ""C"", ""confidence"": 3}
```"
gpqa_026,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 3}
```","```json
{""answer"": ""B"", ""confidence"": 3}
```"
gpqa_028,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_035,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_040,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_042,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
gpqa_046,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 3}
```","```json
{""answer"": ""B"", ""confidence"": 3}
```"
gpqa_049,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 3}
```","```json
{""answer"": ""B"", ""confidence"": 3}
```"
gpqa_052,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 3}
```","```json
{""answer"": ""A"", ""confidence"": 3}
```"
