question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 85}","{""answer"": ""C"", ""confidence"": 92}"
gpqa_002,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 85}","{""answer"": ""A"", ""confidence"": 85}"
gpqa_007,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 42}","{""answer"": ""A"", ""confidence"": 50}"
gpqa_009,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 82}","{""answer"": ""B"", ""confidence"": 80}"
gpqa_010,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 42}","{""answer"": ""B"", ""confidence"": 40}"
gpqa_012,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 32}","{""answer"": ""C"", ""confidence"": 35}"
gpqa_013,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 52}","{""answer"": ""C"", ""confidence"": 45}"
gpqa_018,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 62}","{""answer"": ""A"", ""confidence"": 62}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 85}","{""answer"": ""D"", ""confidence"": 85}"
gpqa_022,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 52}","{""answer"": ""B"", ""confidence"": 50}"
gpqa_023,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 72}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 62}","{""answer"": ""B"", ""confidence"": 60}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 90}","{""answer"": ""A"", ""confidence"": 95}"
gpqa_028,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 72}"
gpqa_035,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 62}","{""answer"": ""C"", ""confidence"": 55}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 85}","{""answer"": ""A"", ""confidence"": 90}"
gpqa_042,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 55}","{""answer"": ""B"", ""confidence"": 55}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 95}","{""answer"": ""A"", ""confidence"": 97}"
gpqa_049,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 75}"
gpqa_052,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 72}","{""answer"": ""D"", ""confidence"": 72}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 72}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 85}","{""answer"": ""A"", ""confidence"": 92}"
gpqa_055,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 55}","{""answer"": ""A"", ""confidence"": 50}"
gpqa_057,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 85}","{""answer"": ""C"", ""confidence"": 88}"
gpqa_059,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 55}","{""answer"": ""A"", ""confidence"": 52}"
gpqa_061,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 52}","{""answer"": ""A"", ""confidence"": 55}"
gpqa_064,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 35}","{""answer"": ""C"", ""confidence"": 35}"
gpqa_065,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 72}"
gpqa_069,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 72}","{""answer"": ""D"", ""confidence"": 72}"
gpqa_073,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 72}"
gpqa_074,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 85}","{""answer"": ""A"", ""confidence"": 90}"
gpqa_075,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 52}","{""answer"": ""C"", ""confidence"": 55}"
gpqa_076,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 35}","{""answer"": ""C"", ""confidence"": 35}"
gpqa_078,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 62}","{""answer"": ""D"", ""confidence"": 62}"
gpqa_080,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 62}","{""answer"": ""C"", ""confidence"": 55}"
gpqa_082,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 78}"
gpqa_083,C,B,0.0,1.0,0.5714,"{""answer"": ""C"", ""confidence"": 52}","{""answer"": ""B"", ""confidence"": 62}"
gpqa_084,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 45}","{""answer"": ""C"", ""confidence"": 42}"
gpqa_087,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 85}","{""answer"": ""B"", ""confidence"": 88}"
gpqa_088,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 35}","{""answer"": ""A"", ""confidence"": 35}"
gpqa_090,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 42}","{""answer"": ""A"", ""confidence"": 42}"
gpqa_094,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 42}","{""answer"": ""D"", ""confidence"": 40}"
gpqa_097,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 55}","{""answer"": ""B"", ""confidence"": 55}"
gpqa_098,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 62}","{""answer"": ""D"", ""confidence"": 62}"
gpqa_099,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 55}","{""answer"": ""D"", ""confidence"": 55}"
gpqa_100,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 78}","{""answer"": ""A"", ""confidence"": 82}"
gpqa_101,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 55}","{""answer"": ""C"", ""confidence"": 52}"
gpqa_102,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 42}","{""answer"": ""C"", ""confidence"": 40}"
gpqa_103,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 75}"
gpqa_104,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 52}","{""answer"": ""B"", ""confidence"": 52}"
gpqa_106,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 72}"
gpqa_110,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 62}","{""answer"": ""A"", ""confidence"": 62}"
gpqa_113,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 55}","{""answer"": ""C"", ""confidence"": 52}"
gpqa_114,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 52}","{""answer"": ""C"", ""confidence"": 50}"
gpqa_116,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 90}","{""answer"": ""A"", ""confidence"": 92}"
gpqa_117,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 72}","{""answer"": ""B"", ""confidence"": 78}"
gpqa_118,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 30}","{""answer"": ""A"", ""confidence"": 30}"
gpqa_119,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 85}","{""answer"": ""A"", ""confidence"": 90}"
gpqa_125,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 35}","{""answer"": ""D"", ""confidence"": 35}"
gpqa_127,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 55}","{""answer"": ""D"", ""confidence"": 55}"
gpqa_129,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 75}"
gpqa_131,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 82}","{""answer"": ""D"", ""confidence"": 85}"
gpqa_134,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 72}","{""answer"": ""C"", ""confidence"": 72}"
gpqa_135,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 92}","{""answer"": ""D"", ""confidence"": 95}"
gpqa_137,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 72}","{""answer"": ""A"", ""confidence"": 72}"
gpqa_146,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 55}","{""answer"": ""D"", ""confidence"": 52}"
gpqa_148,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 78}","{""answer"": ""D"", ""confidence"": 82}"
